EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"61,200",No,fixed,,EE Rohru,Rohru,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,1.0,DD - Demand Draft,01-Feb-2019 12:30 PM,07-Feb-2019 11:00 AM,01-Feb-2019 12:30 PM,06-Feb-2019 06:00 PM,NA ,NA ,01-Feb-2019 12:30 PM,06-Feb-2019 06:00 PM,25-Feb-2019 04:00 PM,EE HPPWD Rohru,EE B AND R DIVN HPPWD Rohru,Providing Periodical Maintenance of RCD road km 9/0 to 13/0,(SH-providing renewal coat 400mtr pucca drain),Please refer Tender documents. ,NA ,"35,80,111",Civil Works - Roads,NA ,Tender,60.0,60.0,Rohru,171207.0,NA ,NA ,NA ,EE HPPWD Rohru,No ,No,PWD,PW/RD/CB/15610-709DT-11-1-19,2019_PWD_26475_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,500",EE Rohru,Rohru,No,AOC,Finance,Bid Opening Summary,Manoj Bhardwaj,22-Apr-2019 02:10 PM,finance_37621.pdf,BOQ Comparative Chart,1.0,111227.0,Jai Chauhan,INR,"5,623,548",1.0,110647.0,AJAY KUMAR SAUHTA,04-Feb-2019 05:47 PM,Rejected-Technical,FDR HAS NOT BEEB SUBMITED,25-Feb-2019 03:56 PM,Technical,BID SUMMARY,Umesh Sharma,25-Feb-2019 03:51 PM,technical_37621.pdf,1.0,Revocation,Technical Revocation,25-Feb-2019 02:29 PM,J-4RCD.pdf ,93.52,Technical Opening,Umesh Sharma,Internal,NARENDAR NAIK,Umesh Sharma,25-Feb-2019 03:56 PM,25-Feb-2019 04:00 PM,techsummary_37621.pdf (107.08 KB),PWD,2019_PWD_26475_4,PW/RD/CB/15610-709DT-11-1-19,Providing Periodical Maintenance of RCD road km 9/0 to 13/0,27-Apr-2019,"INR 5,623,548",60.0,Arvind Sharma,27-Apr-2019 04:47 PM,RCD19.pdf (170.00 KB),AOC,Ravi Bhatti,Internal,NARENDAR NAIK,Arvind Sharma,27-Apr-2019 04:45 PM,finsummary_37621.pdf (66.06 KB),AOC
,,,,,,,,,,,,,.pdf,EARNEST MONEY,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,111227.0,Jai Chauhan,06-Feb-2019 03:46 PM,Accepted-AOC,ACCEPTED,27-Apr-2019 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND SALES TAX NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,the required documents if not found the bidder shall not be Considered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
