Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
EE B and R Solan,EE B and R Division HPPWD Solan,1.0,DD - Demand Draft,"1,500",EE B and R Division HPPWD Solan,EE Solan,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,02-May-2018 11:00 AM,08-May-2018 11:00 AM,02-May-2018 11:00 AM,08-May-2018 10:30 AM,NA ,NA ,02-May-2018 11:00 AM,08-May-2018 10:30 AM,09-May-2018 11:35 AM,PWD,556-63 dated 10.04.2018 Solan Barog Kumarhtti,2018_PWD_20972_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"57,700",No,fixed,,EE B and D Division HPPWD Solan,EE Solan,Periodical renwal under AMP for the Year 201819 of Solan Kumarhatti Barog road Km0/0 to 5/0 SH Providing and laying BC in Km0/0 to 2/0,Periodical renwal under AMP for the Year 201819 of Solan Kumarhatti Barog road Km0/0 to 5/0 SH Providing and laying BC in Km0/0 to 2/0,Please refer Tender documents. ,NA ,"33,43,522",Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,AOC,PWD,2018_PWD_20972_1,556-63 dated 10.04.2018 Solan Barog Kumarhtti,Periodical renwal under AMP for the Year 201819 of Solan Kumarhatti Barog road Km0/0 to 5/0 SH Providing and laying BC in Km0/0 to 2/0,Er Kulbir Singh Thakur EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Naresh Kumar HDM Smt Rekha Kashyap Supdt Grade II and Shri Rajkumar Clerk,Kulbir Singh Thakur,09-May-2018 11:32 AM,09-May-2018 11:35 AM,techsummary_29652.pdf (40.32 KB),ER Kulbir Thakur EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Naresh Kumar HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,25-Apr-2019 03:24 PM,finsummary_29652.pdf (117.24 KB),25-Apr-2019,"INR 3,836,929",60.0,Arvind Kumar,25-Apr-2019 03:30 PM,Award.pdf (349.00 KB),Award of Contract,1.0,83711.0,naresh vij govt contractor,INR,"3,836,929",Finance,Financial bid opening summary,Kulbir Singh Thakur,09-May-2018 11:44 AM,finance_29652.pdf,BOQ Comparative Chart,1.0,83711.0,naresh vij govt contractor,08-May-2018 08:24 AM,Accepted-AOC,OK,25-Apr-2019 03:30 PM,Technical,Technical bid opening summary,Kulbir Singh Thakur,09-May-2018 11:27 AM,technical_29652.pdf,AOC
,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,Contractors registraiton reffer general rules No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,GST registraton refer general rules no 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 19 schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Form No 8refer in SBD Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
