Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Tender Stage
"Executive Engineer, Mandi Divn. No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn. No.I, HPPWD, Mandi","1,29,700",No,fixed,,"Executive Engineer, Mandi Divn. No.I, HPPWD, Mandi",Mandi,"2,000","Executive Engineer, Mandi Divn. No.I, HPPWD, Mandi",Mandi,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),1.0,DD - Demand Draft,PWD,PW-MD1-E-Tender-NIT-31857-94 dated 22/03/2018,2018_PWD_20638_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,11-Apr-2018 11:00 AM,01-May-2018 11:30 AM,11-Apr-2018 11:30 AM,30-Apr-2018 05:00 PM,NA ,NA ,11-Apr-2018 11:30 AM,30-Apr-2018 05:00 PM,11-May-2018 11:30 AM,Construction of Police Station building at Padhar Tehsil Padhar Distt. Mandi (H.P.) under Scheme for Modernization of State Police Force 2014-15 (MPF),C/O building portion including W.S. and S.I. and C/O Septic tank,As per bid documents ,NA ,"97,17,296",Civil Works - Buildings,NA ,Tender,120.0,365.0,"Executive Engineer, Mandi Divn. No.I, HPPWD, Mandi",175001.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn. No.I, HPPWD, Mandi",No ,No,AOC,PWD,2018_PWD_20638_1,PW-MD1-E-Tender-NIT-31857-94 dated 22/03/2018,Construction of Police Station building at Padhar Tehsil Padhar Distt. Mandi (H.P.) under Scheme for Modernization of State Police Force 2014-15 (MPF),1.0,83038.0,anil kumar,28-Apr-2018 07:03 AM,Rejected-Finance,2.0,23-Apr-2019 02:48 PM,Technical,summary,Jitender Kumar,10-May-2018 11:40 AM,technical_29210.pdf,AOC
,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,83029.0,Karam Dass Niraash,27-Apr-2018 07:41 PM,Rejected-Finance,3.0,23-Apr-2019 02:48 PM,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3.0,83112.0,PARAS SOOD,30-Apr-2018 08:38 AM,Accepted-AOC,1.0,23-Apr-2019 02:49 PM,,,,,,AOC
,,,,,,,,,,,,,,.pdf,"GST, Sales Tax Registration (General Rule No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,"List of machineries, Tool, Plants (Indicated in Schedule F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,List of equipments (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,List of both Gazetted and non gazetted Officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
