Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
18-Jun-2018 05:00 PM,03-Jul-2018 11:30 AM,18-Jun-2018 05:00 PM,02-Jul-2018 05:00 PM,NA ,NA ,18-Jun-2018 05:00 PM,02-Jul-2018 05:00 PM,13-Jul-2018 11:30 AM,Construction of link road to Harizan Basti Langna Jarehar Samoun road km km 0/0 to 2/100 under SCSP.,Providing and laying wearing grade-II and cement concrete pavement in km 1/045 to 1/545,As per tender documents ,NA ,"10,37,398",Civil Works - Roads,NA ,Tender,120.0,90.0,Langna,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,PWD,PW-JND-B and R-EA-I-NIT- 4778-4877 dt. 05.06.2018,2018_PWD_21736_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"20,700",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),500.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,1.0,DD - Demand Draft,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar",AOC,1.0,87921.0,Anil Kumar,30-Jun-2018 07:49 PM,Rejected-Finance,L-2,09-Apr-2019 02:32 PM,Technical,summary,Balbir Singh Thakur,06-Jul-2018 12:05 PM,technical_30668.pdf,Finance,fbosummary,Bhag Mal Thakur,16-Jul-2018 12:32 PM,finance_30668.pdf,BOQ Comparative Chart,1.0,87930.0,Ayush Thakur,INR,"1,407,832",Er B. M. Thakur,Internal,AE Lab Bharol DAO Supdt. D.Man,Bhag Mal Thakur,12-Jul-2018 12:42 PM,13-Jul-2018 11:30 AM,techsummary_30668.pdf (288.05 KB),PWD,2018_PWD_21736_1,PW-JND-B and R-EA-I-NIT- 4778-4877 dt. 05.06.2018,Construction of link road to Harizan Basti Langna Jarehar Samoun road km km 0/0 to 2/100 under SCSP.,16-Apr-2019,"INR 1,407,832",90.0,Bhag Mal Thakur,16-Apr-2019 03:24 PM,AOC736.pdf (429.00 KB),AOC,Er. B.M.Thakur,Internal,AE Lad Bharol Supdt. HDM,Bhag Mal Thakur,09-Apr-2019 02:32 PM,finsummary_30668.pdf (311.95 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,2.0,FDR - Fixed Deposit,,,AOC,2.0,87930.0,Ayush Thakur,02-Jul-2018 03:59 PM,Accepted-AOC,AOC,16-Apr-2019 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,AOC,3.0,88014.0,Balbir Singh,02-Jul-2018 03:05 PM,Rejected-Technical,Rejected,12-Jul-2018 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,AOC,4.0,88016.0,Dinesh Kumar,02-Jul-2018 03:26 PM,Rejected-Technical,Rejected,12-Jul-2018 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,AOC,5.0,88007.0,Mansha Ram,02-Jul-2018 02:57 PM,Rejected-Finance,L-3,09-Apr-2019 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
