Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
21-Apr-2019,"INR 4,672,523",30.0,Vivek Sharma,21-Apr-2019 07:25 AM,23280A.pdf (1305.00 KB),Award,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Apr-2019 03:42 PM,finsummary_32591.pdf (596.25 KB),EEHamirpur,Internal,SupdtHDMAEtoEESrDAO,Dev Raj,13-Sep-2018 05:04 PM,13-Sep-2018 05:30 PM,techsummary_32591.pdf (208.33 KB),PWD,2018_PWD_23280_1,Combind building at Hamirpur,R.M. Combind building at Hamirpur,Technical,Atrtached,Dev Raj,13-Sep-2018 04:57 PM,technical_32591.pdf,1.0,94112.0,Neeraj Kumar,09-Sep-2018 10:07 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Sep-2018 04:57 PM,1.0,94063.0,Rajiv Thakur,INR,"4,678,493",Finance,Attached,Vivek Sharma,12-Apr-2019 04:21 PM,finance_32591.pdf,BOQ Comparative Chart,AOC,PWD,Combind building at Hamirpur,2018_PWD_23280_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,03-Sep-2018 03:50 PM,10-Sep-2018 03:00 PM,03-Sep-2018 03:50 PM,10-Sep-2018 10:30 AM,NA ,NA ,03-Sep-2018 03:50 PM,10-Sep-2018 10:30 AM,13-Sep-2018 05:30 PM,1.0,DD - Demand Draft,"2,000",EE Hamirpur,EE Hamirpur,No,EE Hamirpur,Executive Engineer HPPWD Division Hamirpur,"70,000",No,fixed,,EE Hamirpur,EE Hamirpur,R.M. Combind building at Hamirpur,C/O one store room P/F vitrified tile painting distempering and repair of toilets of ground floor first floor and second floor etc,Please refer Tender documents. ,NA ,"41,71,007",Civil Works - Buildings,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,94058.0,Parbhat Singh,08-Sep-2018 11:05 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Sep-2018 04:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and work done 40 orecent,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,94063.0,Rajiv Thakur,10-Sep-2018 08:23 AM,Accepted-AOC,l1,21-Apr-2019 07:25 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,94123.0,Raj kumar shama,10-Sep-2018 10:24 AM,Rejected-Technical,Rejected,13-Sep-2018 05:04 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,94109.0,SANJAY SHARMA,09-Sep-2018 08:49 PM,Rejected-AOC,l2,21-Apr-2019 07:25 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration of copy EPF,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
