Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Tender Stage
Finance,Bid evaluation summary,Umesh Sharma,19-Jul-2018 12:02 PM,finance_30911.pdf,BOQ Comparative Chart,1.0,88950.0,PARVIR SAIN,INR,"466,496",Technical,Bid Opening summary,Umesh Sharma,11-Jul-2018 01:07 PM,technical_30911.pdf,1.0,89100.0,BEER SINGH,10-Jul-2018 04:50 PM,Rejected-Finance,Rejected,24-Apr-2019 12:26 PM,Er.Manoj Sehgal,Internal,Supdt Gr-II HDM and DA,Manoj Kumar Sehgal,24-Apr-2019 12:26 PM,finsummary_30911.pdf (806.14 KB),24-Apr-2019,"INR 466,496",60.0,Manoj Kumar Sehgal,24-Apr-2019 01:07 PM,Challa.pdf (269.00 KB),AOC,PWD,2018_PWD_21907_1,PW-KMS-AB-NIT/2018-2599-2600 dt.13.06.2018,Construction of link road from Challa to Shilla Ropa Sawera Khad via Nizra Katnal Phaladhar Km 0/000 to 5/120 (SH Formation cutting 5/7 mtr wide road Km.3/435 to 3/840,Er.Manoj Kumar,Internal,"Supdt Dr-II, HDM and Sr Assistant Accounts Branch",Umesh Sharma,19-Jul-2018 11:41 AM,19-Jul-2018 11:45 AM,techsummary_30911.pdf (805.97 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),PWD,PW-KMS-AB-NIT/2018-2599-2600 dt.13.06.2018,2018_PWD_21907_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,25-Jun-2018 05:00 PM,11-Jul-2018 11:00 AM,25-Jun-2018 05:30 PM,10-Jul-2018 06:00 PM,NA ,NA ,25-Jun-2018 05:30 PM,10-Jul-2018 06:00 PM,19-Jul-2018 11:45 AM,"16,400",No,fixed,,EE Kumarsain,Kumarsain,Construction of link road from Challa to Shilla Ropa Sawera Khad via Nizra Katnal Phaladhar Km 0/000 to 5/120 (SH Formation cutting 5/7 mtr wide road Km.3/435 to 3/840,Construction of link road from Challa to Shilla Ropa Sawera Khad via Nizra Katnal Phaladhar Km 0/000 to 5/120 (SH Formation cutting 5/7 mtr wide road Km.3/435 to 3/840,Please refer Tender documents. ,NA ,"8,19,442",Civil Works,NA ,Tender,90.0,60.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,350.0,EE Kumarsain,Kumarsain,No,1.0,DD - Demand Draft,Executive Engineer,HPPWD Division Kumarsain,AOC
,,,,,,,,,,,,,,,,2.0,89034.0,Hitesh Kumar,10-Jul-2018 12:04 PM,Rejected-Finance,Rejected,24-Apr-2019 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,AOC
,,,,,,,,,,,,,,,,3.0,88950.0,PARVIR SAIN,10-Jul-2018 10:26 AM,Accepted-AOC,AOC,24-Apr-2019 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,AOC
,,,,,,,,,,,,,,,,4.0,88827.0,RAKESH CHAND,10-Jul-2018 04:56 PM,Rejected-Finance,Reject,24-Apr-2019 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
