S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DD - Demand Draft,"19,900",No,fixed,,EE Jubbal,Jubbal,15-Jun-2018 04:00 PM,25-Jun-2018 11:00 AM,15-Jun-2018 04:00 PM,23-Jun-2018 06:00 PM,NA ,NA ,15-Jun-2018 04:00 PM,23-Jun-2018 06:00 PM,20-Jul-2018 11:50 AM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Executive Engineer Jubbal,HPPWD JUBBAL,Improvement of Black spot by Providing Crash Barrier Railing on Khanety Deorighat Road Km 0/0 to and Eixing 10/300,SH Providing Crash Barrier Railing between RD 0/0 to 0/090 0/510 to 0/600 AND 0/650 to 0/710 AND 1/500 to 1/600,Please refer Tender documents. ,NA ,"9,95,292",Civil Works - Roads,NA ,Tender,120.0,60.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,PWD,PW-JD/E-Tender/2018-19 -2202-04 DT.24.5.18,2018_PWD_21711_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Jubbal,Jubbal,No,AOC,Finance,Financial Bid Opening Summary,Manoj Bhardwaj,20-Jul-2018 02:47 PM,finance_30636.pdf,BOQ Comparative Chart,1.0,87179.0,rajender singh,INR,"1,100,292",1.0,87215.0,dinesh,23-Jun-2018 04:27 PM,Rejected-Technical,Non-Responsive,20-Jul-2018 11:49 AM,Technical,Technical Bid Opening Summary,Manoj Bhardwaj,20-Jul-2018 11:32 AM,technical_30636.pdf,PWD,2018_PWD_21711_2,PW-JD/E-Tender/2018-19 -2202-04 DT.24.5.18,Improvement of Black spot by Providing Crash Barrier Railing on Khanety Deorighat Road Km 0/0 to and Eixing 10/300,Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,20-Jul-2018 11:49 AM,20-Jul-2018 11:50 AM,techsummary_30636.pdf (274.06 KB),Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,11-Apr-2019 01:25 PM,finsummary_30636.pdf (19.93 KB),11-Apr-2019,"INR 1,100,292",60.0,Manoj Bhardwaj,11-Apr-2019 01:25 PM,KHANETY-DEORIGHAT-AOC.pdf (1267.00 KB),AOC,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,87179.0,rajender singh,23-Jun-2018 01:33 PM,Accepted-AOC,L-1,11-Apr-2019 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,87084.0,SACHIN JABAIK,22-Jun-2018 03:27 PM,Rejected-Finance,L-2,11-Apr-2019 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
