Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Annual Surfacing on Alsoo Jambala road,SH Providing and laying 25mm thick bituminous concrete including profile correction in KM 0/0 to 2/0,As per tender documents ,NA ,"15,42,423",Civil Works,NA ,Tender,120.0,60.0,Sunder Nagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,Executive Engineer Sunder Nagar Division HPPWD,Executive Engineer Sunder Nagar Division HPPWD,500.0,Executive Engineer Sunder Nagar Division HPPWD,Sunder Nagar,No,PWD,PW-SNR-CB-E-TGR/18-16622-24 dt 15.12.2018,2018_PWD_25677_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"31,000",No,fixed,,Executive Engineer Sunder Nagar Division HPPWD,Sunder Nagar,1.0,DD - Demand Draft,01-Jan-2019 09:00 AM,15-Jan-2019 11:00 AM,01-Jan-2019 10:00 AM,14-Jan-2019 06:00 PM,01-Jan-2019 10:00 AM ,14-Jan-2019 05:00 PM ,01-Jan-2019 10:00 AM,14-Jan-2019 06:00 PM,17-Jan-2019 04:00 PM,AOC,PWD,2018_PWD_25677_1,PW-SNR-CB-E-TGR/18-16622-24 dt 15.12.2018,Annual Surfacing on Alsoo Jambala road,D R Chauhan E E,Internal,N R Chandell A E Suket Suhsil Kumar Sr DAO Dinesh Sen HDM Girja Sharma Supdt,Devi Ram Chauhan,17-Jan-2019 03:48 PM,17-Jan-2019 04:00 PM,techsummary_35975.pdf (203.02 KB),"Superintending Engineer, 1st Circle, HPPWD Mandi",Internal,Executive Engineer (Design) Executive Engineer Sundernagar Divn Circle Head D.Man Superintendent (Works),Naresh Raj Chandel,16-Apr-2019 12:41 PM,finsummary_35975.pdf (5047.96 KB),26-Apr-2019,"INR 1,971,514",60.0,Naresh Raj Chandel,26-Apr-2019 05:05 PM,Scan_20190426_165932.pdf (4613.00 KB),"AOC issued after negotiation, being lowest.",1.0,107570.0,A.A. ENTREPRENEURS,INR,"1,971,514",Finance,Fin. Bid Opening Summary,Devi Ram Chauhan,18-Jan-2019 06:10 PM,finance_35975.pdf,BOQ Comparative Chart,1.0,107570.0,A.A. ENTREPRENEURS,14-Jan-2019 03:30 PM,Accepted-AOC,Being lowest,26-Apr-2019 05:05 PM,Technical,BOS,Naresh Raj Chandel,16-Jan-2019 02:39 PM,technical_35975.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,107573.0,S.A ASSOCIATE,14-Jan-2019 03:48 PM,Rejected-AOC,"Rejected, being 2nd lowest",26-Apr-2019 05:05 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18 alongwith owner ship pro",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration/ affidavit as per clause 25 A,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
