Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Technical bid opening summary,Arvind Kumar,06-Feb-2019 04:42 PM,technical_36947.pdf,1.0,111036.0,ashish kaushal,05-Feb-2019 08:12 PM,Rejected-AOC,L2,10-Apr-2019 05:38 PM,Finance,Financial bid opening summay,Arvind Kumar,11-Feb-2019 03:56 PM,finance_36947.pdf,BOQ Comparative Chart,1.0,110180.0,naresh vij govt contractor,INR,"6,215,418",10-Apr-2019,"INR 6,215,418",90.0,Arvind Kumar,10-Apr-2019 05:38 PM,Award.pdf (401.00 KB),Award of Contracrt,Er Arvind Kumar Sharma EE B and R Division Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Naresh Kumar HDM and Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,10-Apr-2019 05:36 PM,finsummary_36947.pdf (30.75 KB),Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri naresh Kumar HDM and smt Rekha supdt Grade II PMGSY,Arvind Kumar,06-Feb-2019 04:49 PM,06-Feb-2019 04:55 PM,techsummary_36947.pdf (344.29 KB),PWD,2019_PWD_26178_1,14836-44 dated 09.01.2019 Solan Meenus AMP,Periodical renewal under AMP for the Year 201920 on Solan Meenus road Km2/0 to 9/300,AOC,Periodical renewal under AMP for the Year 201920 on Solan Meenus road Km2/0 to 9/300,SH Providing and laying BC in Km4/0 to 5/0 5/0 to 6/0 and 6/0 t o 7/0,Please refer Tender documents. ,NA ,"51,54,369",Civil Works,NA ,Tender,90.0,90.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,23-Jan-2019 11:30 AM,06-Feb-2019 11:00 AM,23-Jan-2019 11:30 AM,06-Feb-2019 10:30 AM,NA ,NA ,23-Jan-2019 11:30 AM,06-Feb-2019 10:30 AM,06-Feb-2019 04:55 PM,1.0,DD - Demand Draft,"84,100",No,fixed,,EE B and D Division HPPWD Solan,EE Solan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,PWD,14836-44 dated 09.01.2019 Solan Meenus AMP,2019_PWD_26178_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE B and R Solan,EE B and R Division HPPWD Solan,"2,000",EE B and R Division HPPWD Solan,EE Solan,No,AOC
,,,,,2.0,110868.0,Asphalt Carpet Construction Company,05-Feb-2019 02:13 PM,Rejected-Technical,Contractor has not submit the original documents a,06-Feb-2019 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Contractors registraiton reffer general rules No 23,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,110180.0,naresh vij govt contractor,02-Feb-2019 10:03 AM,Accepted-AOC,L1,10-Apr-2019 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registraton refer general rules no 21,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,110955.0,Ravinder Kumar Gupta,05-Feb-2019 04:39 PM,Rejected-Technical,Contractor has not submit the original documents a,06-Feb-2019 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 19 schedule F,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18 proof of ownership",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8refer in SBD Documents,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual financial Turn over during last five Years from Civil Engineering work certified from CA,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,AOC
