Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,PW.SRDD-CB-CTR-2018 -19- 11231 DT 19.9.18,2018_PWD_24000_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"22,000",No,fixed,,EE Dhami,Dhami,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),08-Oct-2018 03:00 PM,16-Oct-2018 11:00 AM,08-Oct-2018 03:00 PM,15-Oct-2018 05:00 PM,NA ,NA ,08-Oct-2018 03:00 PM,15-Oct-2018 05:00 PM,02-Nov-2018 12:30 PM,EE Dhami,Shimla Rural Division HPPWD Dhami,Construction of Missing Cds of Tutikandi Sheelgaon Road Km 0/00 to 3/870,SH Construction of RCC Slab Culvert 6.00 Meters Span at Rd 1/380,Please refer Tender documents. ,NA ,"10,87,914",Civil Works - Roads,NA ,Tender,120.0,90.0,Dhami,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,500.0,EE Dhami,Dhami,No,1.0,Fee,Fee,,AOC,PWD,2018_PWD_24000_2,PW.SRDD-CB-CTR-2018 -19- 11231 DT 19.9.18,Construction of Missing Cds of Tutikandi Sheelgaon Road Km 0/00 to 3/870,Er. Deepak Raj Chauhan,Internal,Sh. Prem Sharma Supdtt. Sh. Deepak Sharma DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Deepak Raj Chauhan,02-Nov-2018 12:19 PM,02-Nov-2018 12:30 PM,techsummary_33536.pdf (220.18 KB),Er. Deepak Raj Chauhan,Internal,,Deepak Raj Chauhan,30-Apr-2019 03:44 PM,finsummary_33536.pdf (20.27 KB),30-Apr-2019,"INR 1,175,312",90.0,Deepak Raj Chauhan,30-Apr-2019 03:50 PM,47AA.pdf (788.00 KB),AOC,Finance,Bid Opening Summary,Deepak Raj Chauhan,02-Nov-2018 01:05 PM,finance_33536.pdf,BOQ Comparative Chart,1.0,97646.0,Sushil Thakur,INR,"1,175,312",1.0,97873.0,Ramesh Dutt,15-Oct-2018 04:45 PM,Rejected-AOC,Non execution by L-1 and L-2,30-Apr-2019 03:50 PM,Technical,Bid Opening Summary,Deepak Raj Chauhan,16-Oct-2018 02:37 PM,technical_33536.pdf,AOC
,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,97863.0,SANDEEP,15-Oct-2018 04:13 PM,Rejected-AOC,Non execution by L-1 and L-2,30-Apr-2019 03:50 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,97646.0,Sushil Thakur,12-Oct-2018 12:15 PM,Accepted-AOC,Non execution by L-1 and L-2,30-Apr-2019 03:50 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
