Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er. B.M.Thakur,Internal,AE Joginder Nagar Supdt. D.Man,Bhag Mal Thakur,09-Apr-2019 04:38 PM,finsummary_34175.pdf (300.55 KB),12-Apr-2019,"INR 2,746,824",90.0,Bhag Mal Thakur,12-Apr-2019 04:08 PM,AOC453.pdf (486.00 KB),AOC,PWD,2018_PWD_24453_1,PW-JND-B and R-EA-I-NIT-15067-15166 dt. 22.10.2018,Rehabilitation of Darat Bagla Tikru Bhala Ka Rihra Ropri road km 0/0 to 12/045,Er B.M. Thakur,Internal,AE Joginder Nagar Sr.DAO D.Man Supdt.,Bhag Mal Thakur,20-Nov-2018 04:51 PM,22-Nov-2018 11:00 AM,techsummary_34175.pdf (244.83 KB),Technical,summary,Bhag Mal Thakur,17-Nov-2018 11:49 AM,technical_34175.pdf,1.0,100340.0,Anil Kumar,15-Nov-2018 04:36 PM,Accepted-AOC,AOC,12-Apr-2019 04:08 PM,Finance,fbosummary,Bhag Mal Thakur,22-Nov-2018 02:56 PM,finance_34175.pdf,BOQ Comparative Chart,1.0,100340.0,Anil Kumar,INR,"2,746,824",AOC,03-Nov-2018 05:00 PM,16-Nov-2018 11:30 AM,03-Nov-2018 05:00 PM,15-Nov-2018 05:00 PM,NA ,NA ,03-Nov-2018 05:00 PM,15-Nov-2018 05:00 PM,22-Nov-2018 11:00 AM,"33,300",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar",1.0,DD - Demand Draft,Rehabilitation of Darat Bagla Tikru Bhala Ka Rihra Ropri road km 0/0 to 12/045,"Scarifying existing bituminous surface, Providing and laying wearing grade-II and tarring in km 6/350 to 8/750",As per bid documents ,NA ,"17,19,989",Civil Works - Roads,NA ,Tender,120.0,90.0,Darat Bagla,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,PWD,PW-JND-B and R-EA-I-NIT-15067-15166 dt. 22.10.2018,2018_PWD_24453_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
