Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Bid Opening Summary,Dalip Singh Tomar,18-Dec-2018 04:56 PM,technical_34771.pdf,1.0,102917.0,Basti Ram,08-Dec-2018 02:14 PM,Rejected-Finance,L2,03-Mar-2019 12:50 PM,PWD,2018_PWD_24857_3,PWP/CB/Tender/2018-9241-91 dt. 20.11.18,Construction of Link road from Jamnighat Jheel Bankabara to Dhounwala road km 0/0 to 5/020 ( SH Construction of 3.00 Mtr span Box cell type slab culvert at R.D. 1/540).(under S.C.S.P).,AOC,350.0,EE PWD Paonta Sahib,Paonta Sahib,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,Construction of Link road from Jamnighat Jheel Bankabara to Dhounwala road km 0/0 to 5/020 ( SH Construction of 3.00 Mtr span Box cell type slab culvert at R.D. 1/540).(under S.C.S.P).,Construction of Link road from Jamnighat Jheel Bankabara to Dhounwala road km 0/0 to 5/020 ( SH Construction of 3.00 Mtr span Box cell type slab culvert at R.D. 1/540).(under S.C.S.P).,Please refer tender documents ,NA ,"7,08,936",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE PWD Paonta,No ,No,1.0,Opening date of tender,Date,,1.0,DD - Demand Draft,24-Nov-2018 06:40 PM,11-Dec-2018 11:30 AM,24-Nov-2018 06:45 PM,10-Dec-2018 05:00 PM,NA ,NA ,24-Nov-2018 06:50 PM,10-Dec-2018 05:00 PM,19-Dec-2018 12:05 PM,EE PWD Paonta Sahib,EE PWD Paonta Sahib,PWD,PWP/CB/Tender/2018-9241-91 dt. 20.11.18,2018_PWD_24857_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"14,200",No,fixed,,EE PWD Paonta Sahib,Paonta Sahib,AOC
,,,,,2.0,103049.0,FAREED HASHMI,10-Dec-2018 04:58 PM,Rejected-Technical,Not Qualify,18-Dec-2018 05:03 PM,,,,,AOC,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,102985.0,IQUBAL,10-Dec-2018 02:20 PM,Accepted-AOC,L1,11-Apr-2019 03:40 PM,,,,,AOC,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,102992.0,Pardeep Kumar,10-Dec-2018 01:24 PM,Rejected-Technical,Not Qualify,18-Dec-2018 05:03 PM,,,,,AOC,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of machinery tool plant along with proof of owner ship i.e.R.C. and purchase bills S.No 6.19 Re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
