Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Periodic Maintenance of Sakri to Bahi road Km 0/0 to 2/0 Additional AMP-II other than PMGSY-2018-19,"Providing and Laying Built up spray grout single layer, tack coat and Bituminous concrete at Km 1/0 to2/0",Please refer Tender documents. ,NA ,"6,85,808",Civil Works - Roads,NA ,Tender,90.0,90.0,Sakri,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,350.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,1.0,DD - Demand Draft,PWD,PWD-BD-Tender-15-16/2667-95,2018_PWD_21658_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"13,800",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,15-Jun-2018 10:00 AM,09-Jul-2018 11:00 AM,15-Jun-2018 11:00 AM,09-Jul-2018 10:30 AM,NA ,NA ,15-Jun-2018 11:00 AM,09-Jul-2018 10:30 AM,28-Jul-2018 11:00 AM,AOC,Er. S.K. Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana DM Sh Subhash Purshan Supdt GII Er B.S. Rana AE Baijnath,Sanjiv Kumar,26-Jul-2018 11:08 AM,28-Jul-2018 11:00 AM,techsummary_30566.pdf (1084.75 KB),PWD,2018_PWD_21658_1,PWD-BD-Tender-15-16/2667-95,Periodic Maintenance of Sakri to Bahi road Km 0/0 to 2/0 Additional AMP-II other than PMGSY-2018-19,18-Apr-2019,"INR 685,808",90.0,Virender Kumar Dhiman,18-Apr-2019 03:32 PM,AwardSakribahi.pdf (228.00 KB),Financial Bid of the said work open successfully on 9.7.2018 and work awarded to Sh. PL Sharma R/O Bir,Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Virender Kumar Dhiman,18-Apr-2019 03:31 PM,finsummary_30566.pdf (166.70 KB),1.0,88868.0,P. L. SHARMA,09-Jul-2018 09:39 AM,Accepted-AOC,Lower side,18-Apr-2019 03:32 PM,Technical,One bidder participated in this work and found responsive. As per Govt. Notification for periodical maintenance work tender recommended to open the financial bid.,Sanjiv Kumar,26-Jul-2018 11:06 AM,technical_30566.pdf,1.0,88868.0,P. L. SHARMA,INR,"787,793",Finance,Financial Bid of the said work open successfully.,Virender Kumar Dhiman,18-Apr-2019 03:30 PM,finance_30566.pdf,BOQ Comparative Chart,AOC
,,.pdf,Cost of Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"GST Registration, PAN No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Similar work done 40 percent of the estimated cost as per mentioned SBD document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
