Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
16-Apr-2019,"INR 724,574",90.0,Bhag Mal Thakur,16-Apr-2019 03:46 PM,AOC376.pdf (430.00 KB),AOC,Er. B.M.Thakur,Internal,AE Joginder Nagar Sr.DAO Supdt. HDM,Bhag Mal Thakur,09-Apr-2019 02:46 PM,finsummary_30180.pdf (155.58 KB),Er B. M. Thakur,Internal,AE Joginder Nagar DAO Supdt. D.man,Bhag Mal Thakur,26-Jun-2018 02:52 PM,27-Jun-2018 11:30 AM,techsummary_30180.pdf (296.28 KB),PWD,2018_PWD_21376_1,PW-JND-B and R-EA-I-NIT- 3877-3976 dt. 23/05/2018,Restoration of Dhanetar Dakbagra road due to laying OFC Km. 0/0 to 3/200 (Deposit of Reliance Jio Information Ltd. DD No. 816788 dated 22/03/2018),Technical,summary,Bhag Mal Thakur,22-Jun-2018 10:38 AM,technical_30180.pdf,1.0,86741.0,Anil Kumar,18-Jun-2018 06:50 PM,Accepted-AOC,AOC,16-Apr-2019 03:46 PM,Finance,fbosummary,Bhag Mal Thakur,27-Jun-2018 04:01 PM,finance_30180.pdf,BOQ Comparative Chart,1.0,86741.0,Anil Kumar,INR,"724,574",AOC,Restoration of Dhanetar Dakbagra road due to laying OFC Km. 0/0 to 3/200 (Deposit of Reliance Jio Information Ltd. DD No. 816788 dated 22/03/2018),"Providing and laying wearing Grade-II in washed away portion, cement concert pavement in Km. 0/105 to 0/150 and Km. 0/360 to 0/465 and tarring in Km. 0/0 to 0/105, Km. 0/150 to 0/360 and Km. 0/465 to 0/500",As per bid documents ,NA ,"5,67,114",Civil Works - Roads,NA ,Tender,90.0,90.0,Dhanetar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,PWD,PW-JND-B and R-EA-I-NIT- 3877-3976 dt. 23/05/2018,2018_PWD_21376_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,30-May-2018 05:00 PM,20-Jun-2018 11:30 AM,30-May-2018 05:00 PM,19-Jun-2018 05:00 PM,NA ,NA ,30-May-2018 05:00 PM,19-Jun-2018 05:00 PM,27-Jun-2018 11:30 AM,Executive Engineer,"O/O Executive Engineer, B and R Division, HPPWD, Joginder Nagar",1.0,DD - Demand Draft,350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,"11,300",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,86786.0,Parma Nand,19-Jun-2018 03:10 PM,Rejected-Finance,L-2,09-Apr-2019 02:46 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,86755.0,Prem Singh,19-Jun-2018 10:30 AM,Rejected-Technical,Rejected,26-Jun-2018 02:52 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,86798.0,Suresh,19-Jun-2018 04:12 PM,Rejected-Finance,L-3,09-Apr-2019 02:46 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of machineries, Tool, Plants (Indicated in Schedule F)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (General Rule N,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,AOC
