Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Er. B.M.Thakur,Internal,AE Joginder Nagar Sr.DAO Supdt. HDM,Bhag Mal Thakur,09-Apr-2019 03:53 PM,finsummary_31249.pdf (312.21 KB),16-Apr-2019,"INR 757,732",90.0,Bhag Mal Thakur,16-Apr-2019 04:16 PM,AOC183.pdf (476.00 KB),AOC,PWD,2018_PWD_22183_1,PW-JND-B and R-EA-I-NIT- 6053-6152 dt. 21.06.2018,Periodical maintenance of Sukabag Saten road (VR-0024) under performance based financial incentive 2017-18 (during 2018-19) as Central Assistant for PMGSY rural roads,Er B. M. Thakur,Internal,AE Joginder Nagar DAO Supdt. HDM,Bhag Mal Thakur,03-Aug-2018 01:17 PM,06-Aug-2018 11:00 AM,techsummary_31249.pdf (272.50 KB),Technical,summary,Bhag Mal Thakur,30-Jul-2018 05:08 PM,technical_31249.pdf,1.0,90335.0,P. L. SHARMA,28-Jul-2018 12:19 PM,Accepted-AOC,AOC,16-Apr-2019 04:16 PM,Finance,fbosummary,Bhag Mal Thakur,07-Aug-2018 03:40 PM,finance_31249.pdf,BOQ Comparative Chart,1.0,90335.0,P. L. SHARMA,INR,"757,732",AOC,1.0,DD - Demand Draft,"12,700",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),09-Jul-2018 10:00 AM,30-Jul-2018 11:30 AM,09-Jul-2018 10:00 AM,28-Jul-2018 05:00 PM,NA ,NA ,09-Jul-2018 10:00 AM,28-Jul-2018 05:00 PM,06-Aug-2018 11:00 AM,PWD,PW-JND-B and R-EA-I-NIT- 6053-6152 dt. 21.06.2018,2018_PWD_22183_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,Periodical maintenance of Sukabag Saten road (VR-0024) under performance based financial incentive 2017-18 (during 2018-19) as Central Assistant for PMGSY rural roads,"Providing and laying built-up spray grout, bituminous concrete in Km 0/0 to 1/0",Please refer tender documents ,NA ,"6,36,203",Civil Works - Roads,NA ,Tender,90.0,90.0,Chauntra,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,Executive Engineer,"o/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
