Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
Er SK Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,27-Apr-2019 01:23 PM,finsummary_36431.pdf (176.48 KB),27-Apr-2019,"INR 1,868,467",90.0,Sanjiv Kumar,27-Apr-2019 01:25 PM,Awardharerphathar.pdf (382.00 KB),Financial Bid of the said work open successfully on 11.2.2019 and work awarded to Sh. Anil Katoch R/O Mahankal,PWD,2019_PWD_25900_1,PWD-BD-NIT-2018-19/15284-336,Construction of Harer to Phathar via Taras road Km 0/0 to 2/0 i/c 50.00 mtr span bridge over Binwa Khad,Er. S.K. Sood,Internal,Sh. Rajinder Chaudhary Sr DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt G-II Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,10-Feb-2019 11:20 AM,11-Feb-2019 02:00 PM,techsummary_36431.pdf (434.97 KB),Technical,Two bidders participated in this work and found responsive hence tender recommended to open financial bid,Sanjiv Kumar,10-Feb-2019 11:19 AM,technical_36431.pdf,1.0,109452.0,Anil Katoch,28-Jan-2019 06:16 PM,Accepted-AOC,Lower Side,27-Apr-2019 01:25 PM,Finance,Financial Bid of the said work open on 11.2.2019 successfully.,Sanjiv Kumar,27-Apr-2019 01:22 PM,finance_36431.pdf,BOQ Comparative Chart,1.0,109452.0,Anil Katoch,INR,"2,746,750",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F,"37,500",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,PWD,PWD-BD-NIT-2018-19/15284-336,2019_PWD_25900_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of Harer to Phathar via Taras road Km 0/0 to 2/0 i/c 50.00 mtr span bridge over Binwa Khad,C/O R/Wall at Km 0/290 to 0/374.60 Both side).,Please refer Tender documents. ,NA ,"18,68,467",Civil Works - Roads,NA ,Tender,120.0,90.0,Harer,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,500.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,11-Jan-2019 04:00 PM,29-Jan-2019 11:00 AM,11-Jan-2019 04:00 PM,29-Jan-2019 10:30 AM,NA ,NA ,11-Jan-2019 04:00 PM,29-Jan-2019 10:30 AM,11-Feb-2019 02:00 PM,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,109460.0,Shalabh Awasthi,28-Jan-2019 06:56 PM,Rejected-Finance,Higher side,27-Apr-2019 01:23 PM,,,,,,,,,,,,AOC,,,.pdf,Cost of Earnest Money as Indicated Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Valid GST Registration and PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Required Machinery tool plant with proof i.c hiring of machinery affidavit required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking that no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit finished that contractor has not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"e- mail ID, Mobile No. is mandatory, since all kind of correspondence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
