Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"Executive Engineer, Gohar Division, HPPWD.Gohar","Executive Engineer, Gohar Division, HPPWD.Gohar",Govt. Sr. Sec. School Build. Moviseri,"C/o Additional accommodation for Govt. Senior Secondary School building at Moviseri in Tehsil Chachiot, Distt. Mandi, H.P.(SH-C/O Two Room ic stair cases ground floor) Under RMSA.",Please refer Tender documents. ,NA ,"13,62,016",Civil Works - Buildings,NA ,Tender,120.0,275.0,Gohar,175029.0,NA ,NA ,NA ,"Executive Engineer, Gohar Division, HPPWD.Gohar",No ,No,1.0,DD - Demand Draft,500.0,EE Gohar Division,EE PWD Gohar,Yes,"27,500",Yes,fixed,,EE Gohar,EE Gohar Division,PWD,22259-98 dt. 12.3.2018,2018_PWD_20532_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,03-Apr-2018 06:00 PM,17-Apr-2018 11:30 AM,03-Apr-2018 06:00 PM,16-Apr-2018 05:00 PM,NA ,NA ,03-Apr-2018 06:00 PM,16-Apr-2018 05:00 PM,25-Apr-2018 11:00 AM,AOC,Finance,Financial Summary,Kishore Kumar Sharma,01-May-2018 12:36 PM,finance_29084.pdf,BOQ Comparative Chart,1.0,82072.0,MANOJ KUMAR,INR,"1,616,080.72",1.0,82159.0,DEVENDER KUMAR,14-Apr-2018 03:21 PM,Rejected-AOC,4th. Lowest,25-Apr-2019 03:36 PM,Technical,Technical Bid Summary,Kishore Kumar Sharma,24-Apr-2018 10:14 AM,technical_29084.pdf,EED.R.Chauhan,Internal,"BishwjeetAE,PratapHDM,RattanSupdtt.",Kishore Kumar Sharma,24-Apr-2018 10:31 AM,25-Apr-2018 11:00 AM,techsummary_29084.pdf (1215.07 KB),PWD,2018_PWD_20532_3,22259-98 dt. 12.3.2018,Govt. Sr. Sec. School Build. Moviseri,25-Apr-2019,"INR 1,362,016",180.0,Ramesh Singh,25-Apr-2019 03:36 PM,15.pdf (168.00 KB),AOC,EE.K.K.Sharma,Internal,"Bishwjeet Singh A.E.,Pratap Singh HDM, Rattan Lal Supdt.,",Ramesh Singh,25-Apr-2019 03:18 PM,finsummary_29084.pdf (1057.08 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,AOC,,,,,,,,,,,,2.0,82191.0,Hemant Kumar Contractor,15-Apr-2018 04:43 PM,Rejected-AOC,5th.Lowest,25-Apr-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Permanent Account Number,,,,,,,,,,AOC,,,,,,,,,,,,3.0,82268.0,Jitesh Kumar,16-Apr-2018 04:46 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Apr-2018 10:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,.pdf,Affidavit regarding no relative working in department,,,,,,,,,,AOC,,,,,,,,,,,,4.0,82220.0,Kuldeep Singh,15-Apr-2018 09:09 PM,Rejected-AOC,2nd. Lowest,25-Apr-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,.pdf,Detail of technical Manpower,,,,,,,,,,AOC,,,,,,,,,,,,5.0,82072.0,MANOJ KUMAR,13-Apr-2018 11:52 AM,Accepted-AOC,Lowest,25-Apr-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,AOC,,,,,,,,,,,,6.0,82061.0,RAM SINGH,13-Apr-2018 12:11 AM,Rejected-AOC,8th. Lowest,25-Apr-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (Gen. Rule 19) Shown in schedule-F,,,,,,,,,,AOC,,,,,,,,,,,,7.0,82275.0,Rnjeet Singh,16-Apr-2018 04:17 PM,Rejected-AOC,6th. Lowest,25-Apr-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F with reference to clause-18,,,,,,,,,,AOC,,,,,,,,,,,,8.0,82112.0,SHIV LAL,13-Apr-2018 07:58 PM,Rejected-AOC,7th. Lowest,25-Apr-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No. 23),,,,,,,,,,AOC,,,,,,,,,,,,9.0,82197.0,Taru Ram,15-Apr-2018 11:55 AM,Rejected-AOC,3rd. Lowest,25-Apr-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
