Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
ER PRADEEP SINGH,Internal,,Pradeep Singh,23-Apr-2019 03:15 PM,finsummary_36028.pdf (180.20 KB),27-Apr-2019,"INR 3,637,120",180.0,Pradeep Singh,27-Apr-2019 12:46 PM,2019_PWD_25711_1.pdf (228.00 KB),PWD,2019_PWD_25711_1,MDII-DADOUR BRIDGE ON PATHANKOT,A/R AND M/O Dadour Bridge on Pathankot Nurpur Palampur Jogindernagar Mandi Sunder Nagar Ghagas Bilaspur and Nauni road HN-154 in Km. 210/0 to 215/400,ER PRADEEP SINGH,Internal,HDM SUPDT DAO AE TO EE,Pradeep Singh,17-Jan-2019 12:51 PM,17-Jan-2019 03:00 PM,techsummary_36028.pdf (251.50 KB),Finance,Bid opening Summary,Pradeep Singh,21-Jan-2019 04:21 PM,finance_36028.pdf,BOQ Comparative Chart,1.0,107612.0,PAWAN KUMAR,INR,"3,637,120",Technical,Summary,Pradeep Singh,17-Jan-2019 12:42 PM,technical_36028.pdf,1.0,107525.0,Ajay Kumar,14-Jan-2019 12:51 PM,Rejected-Technical,NON Responsive,17-Jan-2019 12:51 PM,AOC,PWD,MDII-DADOUR BRIDGE ON PATHANKOT,2019_PWD_25711_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"54,500",Yes,fixed,,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),","1,500",EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,Yes,A/R AND M/O Dadour Bridge on Pathankot Nurpur Palampur Jogindernagar Mandi Sunder Nagar Ghagas Bilaspur and Nauni road HN-154 in Km. 210/0 to 215/400,C/O Protection wall to Dadour bridge aboutment Sunder Nagar side U/S at RD 215/290,Please refer Tender documents. ,NA ,"31,08,864",Civil Works,NA ,Tender,120.0,180.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,02-Jan-2019 05:00 PM,15-Jan-2019 11:30 AM,02-Jan-2019 05:00 PM,15-Jan-2019 10:45 AM,NA ,NA ,02-Jan-2019 05:00 PM,15-Jan-2019 10:45 AM,17-Jan-2019 03:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,107630.0,ANIL KAUNDAL,14-Jan-2019 07:47 PM,Rejected-Finance,4,23-Apr-2019 03:15 PM,AOC,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,107628.0,Gulrez Mohammed,14-Jan-2019 10:37 PM,Rejected-Finance,4,23-Apr-2019 03:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,107637.0,MANISH KUMAR,14-Jan-2019 09:05 PM,Rejected-Finance,6,23-Apr-2019 03:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,107634.0,Manoj kumar co.,15-Jan-2019 06:34 AM,Rejected-Finance,2,23-Apr-2019 03:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,107483.0,Parveen Construction,12-Jan-2019 08:51 PM,Rejected-Finance,3,23-Apr-2019 03:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,107612.0,PAWAN KUMAR,14-Jan-2019 06:15 PM,Accepted-AOC,1,27-Apr-2019 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,107564.0,Tushar Saini Govt. Contractor,14-Jan-2019 04:14 PM,Rejected-Finance,7,23-Apr-2019 03:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
