Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Er S.K. Sood,Internal,Sh. Rajinder Chaudhary Sr DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt G-II Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,10-Feb-2019 11:13 AM,11-Feb-2019 02:00 PM,techsummary_36432.pdf (450.80 KB),PWD,2019_PWD_25902_1,PWD-BD-NIT-2018-19/15284-336,Construction of Bahroo Nadli Gharchindi Malli Road Km 0/0 to 13/200,Technical,Three bidders participated in this work and two bidders found responsive hence tender forwarded to open the fifnancial bid.,Sanjiv Kumar,10-Feb-2019 11:10 AM,technical_36432.pdf,1.0,109497.0,Ashish Chauhan,29-Jan-2019 10:19 AM,Accepted-AOC,Lower Side,08-Apr-2019 11:20 AM,Finance,Financial Bid of the said work open successfully on 11.2.2019 and work awarded to contractor on 18.2.2019 to Sh. Ashash Chauhan R/O Baijnath.,Sanjiv Kumar,08-Apr-2019 11:17 AM,finance_36432.pdf,BOQ Comparative Chart,AOC,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,PWD,PWD-BD-NIT-2018-19/15284-336,2019_PWD_25902_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,500.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,Construction of Bahroo Nadli Gharchindi Malli Road Km 0/0 to 13/200,C/O R/Wall at Km 10/122 to 10/162,Please refer Tender documents. ,NA ,"17,53,291",Civil Works - Roads,NA ,Tender,120.0,60.0,Nadli,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F,"35,200",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,11-Jan-2019 04:00 PM,29-Jan-2019 11:00 AM,11-Jan-2019 04:00 PM,29-Jan-2019 10:30 AM,NA ,NA ,11-Jan-2019 04:00 PM,29-Jan-2019 10:30 AM,11-Feb-2019 02:00 PM,AOC
,,,,,,,,,,,,,,,,2.0,109274.0,KAPIL CHAND,28-Jan-2019 08:25 PM,Rejected-AOC,Higher side,08-Apr-2019 11:20 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,109368.0,RAKESH SHARMA,28-Jan-2019 08:17 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Feb-2019 11:10 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Required Machinery tool plant with proof i.c hiring of machinery affidavit required.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit finished that contractor has not more than two works in hand,,,,,,,,,,,,,,,,AOC
