Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EEHamirpur,Internal,SupdtHDMSrDAoAEtoEE,Vivek Sharma,19-Apr-2019 09:33 PM,finsummary_33983.pdf (570.41 KB),19-Apr-2019,"INR 2,441,972",90.0,Vivek Sharma,19-Apr-2019 09:40 PM,24322A.pdf (735.00 KB),Award,PWD,2018_PWD_24322_1,C/O link road from Burnwar More to Khagal,C/O link road from Burnwar More to Khagal Harizen Basti Barad Colony,EEHamirpur,Internal,SuptedHDMSrDAOAEtoEE,Dev Raj,14-Nov-2018 09:41 PM,15-Nov-2018 03:30 PM,techsummary_33983.pdf (1012.38 KB),Technical,Attached,Dev Raj,14-Nov-2018 09:04 PM,technical_33983.pdf,1.0,99262.0,Mohit Chaudhary,01-Nov-2018 07:42 PM,Rejected-AOC,l2,19-Apr-2019 09:40 PM,1.0,99267.0,saurab katoch,INR,"2,668,894",Finance,Attached,Vivek Sharma,06-Jan-2019 01:48 PM,finance_33983.pdf,BOQ Comparative Chart,AOC,PWD,C/O link road from Burnwar More to Khagal,2018_PWD_24322_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O link road from Burnwar More to Khagal Harizen Basti Barad Colony,SH C/O R/Wall at RD. 0/0 to 0/015 0/620 to 0/645 0/660 to 0/685 0/795 to 0/810 1/090 to 1/094 1/096 to 1/105 1/522 to 1/534 and 1/570 to 1/615 and C/O 900mm dia R.C.C. hume pipe culvert at RD. 0/120 0/365 0/570 0/671 1/09,Please refer Tender documents. ,NA ,"18,79,005",Civil Works - Roads,NA ,Tender,60.0,90.0,Nadaun,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"37,500",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,EE Hamirpur,Executive Engineer HPPWD Haqmirpur,1.0,DD - Demand Draft,500.0,EE Hamirpur,EE Hamirpur,No,26-Oct-2018 06:00 PM,02-Nov-2018 03:00 PM,26-Oct-2018 06:00 PM,02-Nov-2018 10:30 AM,NA ,NA ,26-Oct-2018 06:00 PM,02-Nov-2018 10:30 AM,15-Nov-2018 03:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,99268.0,Naveen thakur,01-Nov-2018 08:43 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Nov-2018 09:04 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,99267.0,saurab katoch,01-Nov-2018 08:18 PM,Accepted-AOC,l1,19-Apr-2019 09:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC
