S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,85589.0,Gaurav Rana,INR,"2,644,455",Finance,Bid Opening Summary,Kamal Singh Pal,09-Apr-2019 02:08 PM,finance_30141.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Kamal Singh Pal,23-Jun-2018 12:14 PM,technical_30141.pdf,1.0,85600.0,akash,02-Jun-2018 03:16 PM,Rejected-Finance,L-7,09-Apr-2019 02:12 PM,Er. Kamal Singh Pal,Internal,,Kamal Singh Pal,09-Apr-2019 02:12 PM,finsummary_30141.pdf (21.89 KB),09-Apr-2019,"INR 2,644,455",90.0,Kamal Singh Pal,09-Apr-2019 02:13 PM,AOC-MUNDU.pdf (267.00 KB),AOC,PWD,2018_PWD_21341_1,PW.CHD.CB-E-9/2018 1519- 1619 DTY 14.05.18,C/O booth Kanchi to Munduchali (Dunglach) road km 0/0 to 3/0 under SSCCP,Er K S Pal,Internal,EE Suptt Tender Clerk Accountant DM,Kamal Singh Pal,26-Jun-2018 01:51 PM,26-Jun-2018 01:55 PM,techsummary_30141.pdf (361.42 KB),AOC,C/O booth Kanchi to Munduchali (Dunglach) road km 0/0 to 3/0 under SSCCP,SH Formation cutting between km RDS 1/0 to 3/0 and R/wall and B/wall between km RDS 1/0 TO 1/070 and 1/195 to 1/295,Please refer Tender documents. ,NA ,"40,03,105",Civil Works - Roads,NA ,Tender,120.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,"68,000",No,fixed,,EE Chopal,Chopal,28-May-2018 11:30 AM,06-Jun-2018 11:00 AM,28-May-2018 11:30 AM,02-Jun-2018 05:00 PM,NA ,NA ,28-May-2018 11:30 AM,02-Jun-2018 05:00 PM,26-Jun-2018 01:55 PM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,DD - Demand Draft,"2,000",EE Chopal,Chopal,No,PWD,PW.CHD.CB-E-9/2018 1519- 1619 DTY 14.05.18,2018_PWD_21341_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Chopal,HPPWD CHOPAL,AOC
,,,,,,,,,,,,,,,,2.0,85590.0,BRIJ BUSHAN BANSHTU,02-Jun-2018 01:50 PM,Rejected-Finance,L-3,09-Apr-2019 02:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,85589.0,Gaurav Rana,02-Jun-2018 02:06 PM,Accepted-AOC,L-1,09-Apr-2019 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,85559.0,HR BHIMTA,02-Jun-2018 04:44 PM,Rejected-Technical,Non Responsive,26-Jun-2018 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,85566.0,KAMLESH KUMAR,02-Jun-2018 12:40 PM,Rejected-Technical,Non Responsive,26-Jun-2018 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,85354.0,KRISHAN SINGH,02-Jun-2018 12:41 PM,Rejected-Finance,L-4,09-Apr-2019 02:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7.0,85580.0,NEERAJ KUMAR,02-Jun-2018 12:15 PM,Rejected-Finance,L-6,09-Apr-2019 02:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8.0,85582.0,Pankaj Chauhan,02-Jun-2018 03:21 PM,Rejected-Technical,Non Responsive,26-Jun-2018 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9.0,85607.0,Parkash Chauhan,02-Jun-2018 04:03 PM,Rejected-Finance,L-5,09-Apr-2019 02:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10.0,85591.0,Rahul Pandey,02-Jun-2018 03:10 PM,Rejected-Technical,Non Responsive,26-Jun-2018 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,AOC
