Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
21-Apr-2019,"INR 3,207,709",30.0,Vivek Sharma,21-Apr-2019 06:22 AM,24201A.pdf (1432.00 KB),Award,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Apr-2019 03:24 PM,finsummary_33846.pdf (615.05 KB),EEHamirpur,Internal,Attached,Dev Raj,06-Nov-2018 02:30 PM,06-Nov-2018 02:35 PM,techsummary_33846.pdf (1126.70 KB),PWD,2018_PWD_24227_1,R/R damages on Mattan to HMR road 0/0 to 5/400,R/R damages on Mattan Sidh to Hamirpur road Km 0/0 to 5/400,Finance,Attached,Vivek Sharma,13-Apr-2019 11:58 AM,finance_33846.pdf,BOQ Comparative Chart,1.0,98704.0,Sanjay Thakur,INR,"3,262,047",Technical,Attached,Dev Raj,06-Nov-2018 02:27 PM,None,1.0,Corrigendum,Corrigendum,06-Nov-2018 01:31 PM,MattanSidhF.pdf ,1113.13,Technical Opening,1.0,98782.0,ASHISH SHARMA,28-Oct-2018 09:29 PM,Rejected-Technical,Rejected,06-Nov-2018 02:30 PM,AOC,1.0,DD - Demand Draft,"1,000",EE Hamirpur,EE Hamirpur,No,"48,000",No,fixed,,EE Hamirpur,EE Hamirpur,R/R damages on Mattan Sidh to Hamirpur road Km 0/0 to 5/400,SH Providing and laying WMM BM BC Thermoplastic road sign Nadaun Chowk and Bhota Chowk RD 3/090 to 3/300 and 4/270 to 4/345,Please refer Tender documents. ,NA ,"26,99,019",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,PWD,R/R damages on Mattan to HMR road 0/0 to 5/400,2018_PWD_24227_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,22-Oct-2018 06:00 PM,29-Oct-2018 11:30 AM,22-Oct-2018 06:00 PM,29-Oct-2018 10:30 AM,NA ,NA ,22-Oct-2018 06:00 PM,29-Oct-2018 10:30 AM,06-Nov-2018 02:35 PM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum2,Corrigendum2,06-Nov-2018 02:08 PM,MattanSidhF.pdf ,1113.13,Technical Opening,2.0,98704.0,Sanjay Thakur,28-Oct-2018 10:26 PM,Accepted-AOC,l1,21-Apr-2019 06:22 AM,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 Percent,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,98783.0,SUNNY CHOPRA,28-Oct-2018 09:43 PM,Rejected-AOC,l2,21-Apr-2019 06:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders are required paver Machine and Mini Hot Plant for execution of work,AOC
