Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,03-Apr-2019 03:13 PM,finsummary_39088.pdf (192.88 KB),03-Apr-2019,"INR 704,586",30.0,Virender Kumar,03-Apr-2019 03:15 PM,Award_letter.pdf (416.00 KB),Award_letter,PWD,2019_PWD_27440_1,Periodical Maintenance Of Gander To Barram Kalan,Periodical Maintenance Of Road From Gander To Barram Kalan Road under AMP 2019-20,Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,04-Mar-2019 01:09 PM,05-Mar-2019 11:00 AM,techsummary_39088.pdf (247.02 KB),Technical,Summary,Virender Kumar,04-Mar-2019 01:08 PM,technical_39088.pdf,1.0,115681.0,G.P.ACHARYA,26-Feb-2019 04:07 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,03-Apr-2019 03:15 PM,Finance,Financial_Evaluation,Virender Kumar,07-Mar-2019 03:43 PM,finance_39088.pdf,BOQ Comparative Chart,1.0,115681.0,G.P.ACHARYA,INR,"846,290",AOC,500.0,Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,Yes,1.0,DD - Demand Draft,PWD,Periodical Maintenance Of Gander To Barram Kalan,2019_PWD_27440_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"14,100",Yes,fixed,,Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,20-Feb-2019 10:00 AM,27-Feb-2019 11:00 AM,20-Feb-2019 10:30 AM,26-Feb-2019 05:00 PM,NA ,NA ,20-Feb-2019 10:30 AM,26-Feb-2019 05:00 PM,05-Mar-2019 11:00 AM,Executive Engineer,Executive Engineer HP PWD Division Jaisinghpur,Periodical Maintenance Of Road From Gander To Barram Kalan Road under AMP 2019-20,Providing and laying 25mm thick Bitumen concrete i/c profile correction laying with paver finisher in Km 1/0 to 2/0,Please refer Tender documents. ,NA ,"7,04,586",Civil Works - Roads,NA ,Tender,120.0,30.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,115305.0,Kulvinder,26-Feb-2019 03:06 PM,Rejected-AOC,Rejected due to higher rates bidder L2,03-Apr-2019 03:15 PM,,,,,,,,,,,,AOC,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax/Vat/TIN/GST/PAN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tax clearance certificate (TCC) issued from the Excise and Taxation Deptt.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E-mail addreses and Mobile Number,AOC
