Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,000",EE Hamirpur,EE Hamirpur,No,"53,500",No,fixed,,EE Hamirpur,EE Hamirpur,PWD,A/R and M/O Type-II Qtr No 1 to 32 Pooled colony,2018_PWD_23661_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,A/R and M/O Type-II Qtr No 1 to 32 in pooled colony at Hamirpur,SH Painting distempering and repair of toilets,Please refer Tender documents. ,NA ,"30,63,048",Civil Works - Buildings,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,DD - Demand Draft,20-Sep-2018 09:00 AM,27-Sep-2018 11:30 AM,20-Sep-2018 09:00 AM,27-Sep-2018 10:30 AM,NA ,NA ,20-Sep-2018 09:00 AM,27-Sep-2018 10:30 AM,06-Oct-2018 03:30 PM,AOC,1.0,95943.0,JAG SINGH THAKUR,27-Sep-2018 07:22 AM,Rejected-AOC,l3,21-Apr-2019 07:04 AM,Technical,Attached,Vivek Sharma,06-Oct-2018 10:59 AM,None,Finance,Attached,Vivek Sharma,12-Apr-2019 03:49 PM,finance_33084.pdf,BOQ Comparative Chart,1.0,95946.0,SUNNY CHOPRA,INR,"3,518,612",EEHamirpur,Internal,SupdtHDMSr.DAOAEtoEE,Vivek Sharma,06-Oct-2018 11:54 AM,06-Oct-2018 03:30 PM,techsummary_33084.pdf (1091.62 KB),PWD,2018_PWD_23661_1,A/R and M/O Type-II Qtr No 1 to 32 Pooled colony,A/R and M/O Type-II Qtr No 1 to 32 in pooled colony at Hamirpur,21-Apr-2019,"INR 3,415,336",90.0,Vivek Sharma,21-Apr-2019 07:04 AM,23661A.pdf (2204.00 KB),Award,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Apr-2019 04:22 PM,finsummary_33084.pdf (522.50 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC,2.0,95946.0,SUNNY CHOPRA,27-Sep-2018 08:06 AM,Accepted-AOC,l1,21-Apr-2019 07:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,AOC,3.0,95857.0,Yash Paul,26-Sep-2018 07:25 PM,Rejected-AOC,l2,21-Apr-2019 07:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration of Copy,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
