Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer,Executive Engineer HPPWD Division Dharamshala,06-Sep-2018 09:00 AM,28-Sep-2018 11:30 AM,06-Sep-2018 09:00 AM,28-Sep-2018 11:00 AM,NA ,NA ,06-Sep-2018 09:00 AM,28-Sep-2018 11:00 AM,22-Oct-2018 04:00 PM,350.0,EE Dharamhala,Dharamshala,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),PWD,4229-32,2018_PWD_23112_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"17,100",Yes,fixed,,EE Dharamshala,Dharamshala,Restoration against Telecom Deposit on Dadh Malan Massal Rajhoon road Km 0/000 to 8/000 in Tehsil Nagrota Bagwan Distt. Kangra H.P. SH Providing and Laying 25mm thick Bituminous concrete laying with paver finisher in km 7/000 to 8/000,Restoration against Telecom Deposit on Dadh Malan Massal Rajhoon road Km 0/000 to 8/000 in Tehsil Nagrota Bagwan Distt. Kangra H.P.,Please refer tender documents ,NA ,"8,53,002",Civil Works - Roads,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,DD - Demand Draft,AOC,1.0,95968.0,Navneet Thakur,28-Sep-2018 10:13 AM,Rejected-Finance,Higher bidder,18-Apr-2019 10:53 AM,Technical,Chairman Er Ajay Sharma EE Committee Members Sh.Vikramjit Sr. DAO Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Ashok Kumar TA,Vijay Kumar Chaudhary,22-Oct-2018 03:33 PM,technical_32365.pdf,Finance,As per document attached,Vijay Kumar Chaudhary,18-Apr-2019 10:22 AM,finance_32365.pdf,BOQ Comparative Chart,1.0,95808.0,VIRENDER PRASHAD SHARMA,INR,"925,125",PWD,2018_PWD_23112_1,4229-32,Restoration against Telecom Deposit on Dadh Malan Massal Rajhoon road Km 0/000 to 8/000 in Tehsil Nagrota Bagwan Distt. Kangra H.P. SH Providing and Laying 25mm thick Bituminous concrete laying with paver finisher in km 7/000 to 8/000,Executive Engineer,Internal,Chairman Er Ajay Sharma EE Committee Members Sh.Vikramjit Sr. DAO Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Ashok Kumar TA,Vijay Kumar Chaudhary,22-Oct-2018 03:41 PM,22-Oct-2018 04:00 PM,techsummary_32365.pdf (215.75 KB),Er. Ajay Sharma,Internal,"Shri Vikramjeet, DAO, Shri Harjeet Singh, Superintendent, Shri Suresh Kumar, HDM, Shri Ashok Kumar,TA",Vijay Kumar Chaudhary,18-Apr-2019 10:53 AM,finsummary_32365.pdf (230.43 KB),18-Apr-2019,"INR 925,125",90.0,Vijay Kumar Chaudhary,18-Apr-2019 11:04 AM,1.07.12.18.pdf (255.00 KB),Shri V.P.Sharma,AOC
,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,2.0,95729.0,pritam singh thkur,26-Sep-2018 10:13 AM,Rejected-Finance,Refused for work,18-Apr-2019 10:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,95808.0,VIRENDER PRASHAD SHARMA,27-Sep-2018 03:18 PM,Accepted-AOC,Lowest amount after negotiation,18-Apr-2019 11:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff alongwith ownership and certificate of qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
