Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"5,000",EE Dhami,Dhami,No,"4,47,000",No,fixed,,EE Dhami,Dhami,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Construction of Chaily to Karyachi Road Via Beount Km. 0/0 to 13/060,"SH ROFD i/c R/wall and B/wall, C.D. works i/c RCC slab culverts, WBM-I, WBM-II and III, M/T Works, Road Side V-shape Drain, Parapet and Dumping Structure in Km. 0/00 to 13/060) Under NABARD RIDF-XXII.",Please refer Tender documents. ,NA ,"4,14,08,543",Civil Works - Roads,NA ,Tender,120.0,540.0,Dhami,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,PWD,PW-SRDD-CB-CTR / 2018-19- 18950 Dated 7.1.19,2019_PWD_26280_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,EE Dhami,Shimla Rural Division HPPWD Dhami,24-Jan-2019 06:00 PM,05-Feb-2019 11:00 AM,24-Jan-2019 06:00 PM,04-Feb-2019 05:00 PM,NA ,NA ,24-Jan-2019 06:00 PM,04-Feb-2019 05:00 PM,15-Feb-2019 12:30 PM,AOC,1.0,110567.0,Ajay Kumar Sood Engineers and Contractors,04-Feb-2019 03:48 PM,Rejected-Finance,L-5,30-Apr-2019 04:26 PM,Technical,Bid Opening Summary,Deepak Raj Chauhan,05-Feb-2019 03:01 PM,technical_37132.pdf,1.0,110262.0,Atul Sharma,INR,"45,646,810",Finance,Bid Opening Summary,Deepak Raj Chauhan,15-Feb-2019 12:56 PM,finance_37132.pdf,BOQ Comparative Chart,PWD,2019_PWD_26280_1,PW-SRDD-CB-CTR / 2018-19- 18950 Dated 7.1.19,Construction of Chaily to Karyachi Road Via Beount Km. 0/0 to 13/060,Er. Deepak Raj Chauhan,Internal,Sh. Prem Sharma Supdtt. Sh. Deepak Sharma DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Deepak Raj Chauhan,15-Feb-2019 12:24 PM,15-Feb-2019 12:30 PM,techsummary_37132.pdf (286.41 KB),Er. Deepak Raj Chauhan,Internal,,Deepak Raj Chauhan,30-Apr-2019 04:26 PM,finsummary_37132.pdf (21.21 KB),30-Apr-2019,"INR 45,646,810",540.0,Deepak Raj Chauhan,30-Apr-2019 04:27 PM,57A.pdf (646.00 KB),AOC,AOC
,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,AOC,2.0,110262.0,Atul Sharma,04-Feb-2019 03:24 PM,Accepted-AOC,L-1,30-Apr-2019 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,110552.0,kapoor sanjee,04-Feb-2019 03:40 PM,Rejected-Finance,L-4,30-Apr-2019 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,110238.0,naresh vij govt contractor,04-Feb-2019 09:06 AM,Rejected-Technical,Non-Responsive,15-Feb-2019 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,110543.0,Rajesh Thakur,04-Feb-2019 02:27 PM,Rejected-Finance,L-2,30-Apr-2019 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6.0,110182.0,Satish Kumar Vij,03-Feb-2019 10:13 PM,Rejected-Finance,L-3,30-Apr-2019 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report As Per General Rules 28.2a And 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
