Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,500.0,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",No,PWD,11587-11636 dated 12-09-2018,2018_PWD_23793_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O road from Harnera Branj Sidhpur Sirmani Khabbal Salwana Tatwani road km. 0/0 to 9/300 under MMGSY,C/O road from Harnera Branj Sidhpur Sirmani Khabbal Salwana Tatwani road km. 0/0 to 9/300 under MMGSY,Please refer Tender documents. ,NA ,"12,98,104",Civil Works - Roads,NA ,Tender,120.0,120.0,Items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",27-Sep-2018 10:00 AM,15-Oct-2018 11:30 AM,27-Sep-2018 10:00 AM,15-Oct-2018 11:00 AM,NA ,NA ,27-Sep-2018 10:00 AM,15-Oct-2018 11:00 AM,24-Nov-2018 04:30 PM,1.0,DD - Demand Draft,"26,000",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",AOC,Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Supdt. Sh. Vijay Kumar HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA.,Sanjiv Mahajan,24-Nov-2018 04:21 PM,24-Nov-2018 04:30 PM,techsummary_33256.pdf (121.94 KB),PWD,2018_PWD_23793_1,11587-11636 dated 12-09-2018,C/O road from Harnera Branj Sidhpur Sirmani Khabbal Salwana Tatwani road km. 0/0 to 9/300 under MMGSY,11-Apr-2019,"INR 1,298,104",120.0,Subhash Chander,11-Apr-2019 10:35 AM,Awrad.pdf (162.00 KB),Awrad,Er. Sanjiv Mahajan,Internal,Er. Subhash Chander A.E. Kangra Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Supdt. Sh. Vijay Kumar HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA.,Subhash Chander,11-Apr-2019 10:34 AM,finsummary_33256.pdf (46.18 KB),1.0,97699.0,Rakesh Kumar,13-Oct-2018 02:02 PM,Accepted-AOC,Award,11-Apr-2019 10:35 AM,Technical,Opened,Sanjiv Mahajan,24-Nov-2018 04:18 PM,technical_33256.pdf,Finance,Opened,Subhash Chander,11-Apr-2019 10:29 AM,finance_33256.pdf,BOQ Comparative Chart,1.0,97699.0,Rakesh Kumar,INR,"1,350,349.75",AOC
,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,97654.0,suresh guleria,12-Oct-2018 02:39 PM,Rejected-Finance,Rate quoted higher side of L1,11-Apr-2019 10:34 AM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of Machinery tool plant shown in schedule-F(Sr. No-6.19)(Refer clause-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Sale Tax/GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
