Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
17-Apr-2019,"INR 42,325,585",365.0,Vijay Kumar Chaudhary,17-Apr-2019 08:49 PM,22207award.pdf (663.00 KB),Shri Ujjwal Singh,Er. Ajay Sharma,Internal,"Shri TC Dhiman AE TO EE, Shri Vikramjeet DAO, Shri Harjeet Supdt., Shri Suresh HDM, Shri Ashok Kumar TA",Vijay Kumar Chaudhary,17-Apr-2019 08:43 PM,finsummary_31276.pdf (192.61 KB),Executive Engineer,Internal,Chairman Er Ajay Sharma EE Committee Members Sh.Vikramjit Sr. DAO Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Ashok Kumar TA,Vijay Kumar Chaudhary,24-Sep-2018 12:45 PM,24-Sep-2018 04:00 PM,techsummary_31276.pdf (729.13 KB),PWD,2018_PWD_22207_2,2954-57,C/O Rajiv Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in Distt. Kangra HP,Technical,Chairman Er Ajay Sharma EE Committee Members Sh.Vikramjit Sr. DAO Sh. Harjeet Singh Supdt. Sh. Suresh Kumar HDM Sh. Ashok Kumar TA,Vijay Kumar Chaudhary,15-Sep-2018 03:54 PM,technical_31276.pdf,1.0,90377.0,Kumar,28-Jul-2018 05:47 PM,Rejected-Finance,HIGHER BIDDER,17-Apr-2019 08:43 PM,Finance,AS PER ATTACHED DETAIL,Vijay Kumar Chaudhary,17-Apr-2019 08:38 PM,None,BOQ Comparative Chart,1.0,89874.0,Ujjawal Singh,INR,"42,325,585",AOC,"5,00,000",No,fixed,,EE Dharamshala,Dharamshsala,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),1.0,DD - Demand Draft,10-Jul-2018 11:00 AM,30-Jul-2018 11:30 AM,10-Jul-2018 11:00 AM,30-Jul-2018 11:00 AM,NA ,NA ,10-Jul-2018 11:00 AM,30-Jul-2018 11:00 AM,24-Sep-2018 04:00 PM,C/O Rajiv Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in Distt. Kangra HP,C/O Rajiv Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in Distt. Kangra HP S/H - C/O Library and Computer Centre Block alongwith W/S and S/I and rain water harvesting system,Please refer tender document ,NA ,"3,94,98,238",Civil Works - Others,NA ,Tender,120.0,365.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,Executive Engineer,Executive Engineer HP PWD Division Dgharamshala,"5,000",EE Dharamshala,Dharamshala,No,PWD,2954-57,2018_PWD_22207_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,90439.0,M/s Surindera Traders,29-Jul-2018 03:47 PM,Rejected-Finance,HIGHER BIDDER,17-Apr-2019 08:43 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,90445.0,Pawan Kumar,29-Jul-2018 07:43 PM,Rejected-Finance,HIGHER BIDDER,17-Apr-2019 08:43 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,89874.0,Ujjawal Singh,29-Jul-2018 05:12 PM,Accepted-AOC,LOWEST BIDDER,17-Apr-2019 08:49 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of Machinery and staff alongwith ownership and certificate of qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,An affidavit that information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Balance sheet for the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
