Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
Technical,BID OPENING SUMMARY,Vivek Sharma,05-Jun-2018 11:47 AM,technical_29308.pdf,1.0,83733.0,BRIJ BUSHAN BANSHTU,08-May-2018 11:54 AM,Rejected-Finance,REJECTED,29-Apr-2019 12:28 PM,1.0,83952.0,Pankaj Thakur,INR,"2,971,054",Finance,Bid Opening Summary,Manoj Bhardwaj,22-Apr-2019 03:07 PM,finance_29308.pdf,BOQ Comparative Chart,29-Apr-2019,"INR 2,971,054",60.0,Arvind Sharma,29-Apr-2019 12:30 PM,AOC-18.pdf (124.00 KB),AOC,P K GARG,Internal,dASHMINDER PAL,Arvind Sharma,29-Apr-2019 12:28 PM,finsummary_29308.pdf (65.30 KB),Manoj,Internal,Dashminer paull,Vivek Sharma,05-Jun-2018 11:52 AM,05-Jun-2018 11:55 AM,techsummary_29308.pdf (340.96 KB),PWD,2018_PWD_20714_1,PW/DKD/CB/101-201DT10-04-18,Providing periodical maintenance of Rohru Chirgaon Dodra Kawar Road Km RD 0/000 to 92/695,AOC,"37,973",No,fixed,,EE Dodrakawar,Dodrakawar,500.0,EE Dodrakawar,Dodrakawar,No,16-Apr-2018 02:00 PM,10-May-2018 11:00 AM,16-Apr-2018 02:00 PM,09-May-2018 06:00 PM,NA ,NA ,16-Apr-2018 02:00 PM,09-May-2018 06:00 PM,05-Jun-2018 11:55 AM,Providing periodical maintenance of Rohru Chirgaon Dodra Kawar Road Km RD 0/000 to 92/695,- providing renewal coat to Rohru Chirgaon Dodra Kawar Road Km RD 25/000 to 28/000 with 300mtr Pucca drain,Please refer Tender documents. ,NA ,"20,31,468",Civil Works - Roads,NA ,Tender,90.0,60.0,LAROT,171221.0,NA ,NA ,NA ,Larot,No ,No,EE HPPWD DODRA KWAR,EE HPPWD DODRA KWAR,PWD,PW/DKD/CB/101-201DT10-04-18,2018_PWD_20714_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,1.0,DD - Demand Draft,AOC
,,,,,2.0,83906.0,kapil chaudhary,09-May-2018 04:21 PM,Rejected-Finance,REJECTED,29-Apr-2019 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,2.0,FDR - Fixed Deposit,AOC
,,,,,3.0,83952.0,Pankaj Thakur,09-May-2018 05:47 PM,Accepted-AOC,ACCEPTED,29-Apr-2019 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER AND TIN NUMBER SALES TAX NUMBER,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF INFORMATION SUBMITTED,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CA/Turnover of Last five year,,,AOC
