Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"1,000",EE KARSOG,KARSOG,No,Proidical maintenance on Karangal to Charog Kinder road VR-0046 (Sub Head Providing and laying 25 mm bituminous concrete including profile correction in Km. 0/00 to 2/00 4/00 to 5/00),Proidical maintenance on Karangal to Charog Kinder road VR-0046 (Sub Head Providing and laying 25 mm bituminous concrete including profile correction in Km. 0/00 to 2/00 4/00 to 5/00),Please refer Tender documents. ,NA ,"24,38,411",Civil Works,NA ,Tender,90.0,90.0,KARANGAL,175011.0,NA ,NA ,NA ,EE KARSOG,No ,No,EE KARSOG,EE KARSOG,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,PWD,PW-KSG-E-TENDER/17-18 614-20 16.4.18,2018_PWD_21264_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"44,100",No,fixed,,EE KARSOG,KARSOG,23-May-2018 09:00 AM,30-May-2018 12:00 PM,23-May-2018 09:00 AM,28-May-2018 09:00 AM,NA ,NA ,23-May-2018 09:00 AM,28-May-2018 09:00 AM,01-Jun-2018 04:30 PM,AOC,1.0,85289.0,PUNEET GOVT CONT,26-May-2018 07:59 PM,Rejected-AOC,OK,22-Apr-2019 01:42 PM,Technical,attac,Pritam Chand Sharma,01-Jun-2018 04:12 PM,technical_30039.pdf,Finance,ata,Pritam Chand Sharma,01-Jun-2018 04:51 PM,finance_30039.pdf,BOQ Comparative Chart,1.0,85279.0,SURESH SHARMA GOVT CONTRACTOR,INR,"3,453,926",PWD,2018_PWD_21264_1,PW-KSG-E-TENDER/17-18 614-20 16.4.18,Proidical maintenance on Karangal to Charog Kinder road VR-0046 (Sub Head Providing and laying 25 mm bituminous concrete including profile correction in Km. 0/00 to 2/00 4/00 to 5/00),PC SHARMA,Internal,,Pritam Chand Sharma,01-Jun-2018 04:24 PM,01-Jun-2018 04:30 PM,techsummary_30039.pdf (307.33 KB),MAAN SINGH,Internal,OK,Maan Singh,21-Apr-2019 08:28 PM,finsummary_30039.pdf (248.10 KB),22-Apr-2019,"INR 3,185,394",90.0,Maan Singh,22-Apr-2019 01:42 PM,21264.pdf (248.00 KB),OK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD Indicated In Schedule F.(EMD not be made before 22.05.2018),,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,AOC,2.0,85279.0,SURESH SHARMA GOVT CONTRACTOR,26-May-2018 06:11 PM,Accepted-AOC,OK,22-Apr-2019 01:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
