Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt.",Kishan Lal Chaudhary,11-Apr-2019 11:05 AM,finsummary_37573.pdf (256.14 KB),11-Apr-2019,"INR 2,831,348",60.0,Kishan Lal Chaudhary,11-Apr-2019 11:15 AM,finance_26480.pdf (256.00 KB),"work awarded to M/S Asphalt Carpet, const.",PWD,2019_PWD_26483_1,AMP 2019-20,Periodical Renewal on Naina Tikker Deothal Road km 0/0 to 3/00 under AMP for the year 2019-20,Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt.",Kishan Lal Chaudhary,13-Feb-2019 04:58 PM,14-Feb-2019 10:30 AM,techsummary_37573.pdf (261.84 KB),1.0,111992.0,Asphalt Carpet Construction Company,INR,"3,928,408",Finance,SUMMARY,Kishan Lal Chaudhary,22-Feb-2019 01:06 PM,finance_37573.pdf,BOQ Comparative Chart,Technical,SUMMARY,Kishan Lal Chaudhary,12-Feb-2019 04:37 PM,technical_37573.pdf,1.0,111485.0,ashish kaushal,09-Feb-2019 05:05 PM,Rejected-AOC,L3,11-Apr-2019 11:15 AM,AOC,01-Feb-2019 09:00 AM,12-Feb-2019 11:00 AM,01-Feb-2019 09:00 AM,11-Feb-2019 05:00 PM,NA ,NA ,01-Feb-2019 09:00 AM,11-Feb-2019 05:00 PM,14-Feb-2019 10:30 AM,1.0,DD - Demand Draft,"51,000",No,fixed,,EE RAJGARH,RAJGARH,PWD,AMP 2019-20,2019_PWD_26483_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodical Renewal on Naina Tikker Deothal Road km 0/0 to 3/00 under AMP for the year 2019-20,Periodical Renewal on Naina Tikker Deothal Road km 0/0 to 3/00 under AMP for the year 2019-20,Please refer Tender documents. ,NA ,"28,31,348",Civil Works - Roads,NA ,Tender,90.0,60.0,RAJGARH DIVISION HPPWD RAJAGRH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJAGRH,No ,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJAGRH,"1,500",EE RAJGARH,RAJGARH,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,111992.0,Asphalt Carpet Construction Company,11-Feb-2019 04:07 PM,Accepted-AOC,L1,11-Apr-2019 11:15 AM,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,111470.0,naresh vij govt contractor,09-Feb-2019 07:59 AM,Rejected-AOC,L2,11-Apr-2019 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work Done Certificate as per Gen. Rule Sr.No.28.2(b) and Schedule F Sr.No.6.10,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ROOF OF MANDATORY MACHINERY TOOL AND PLANTS as per Gen. Rules 25 and Schedule F Sr. No.6.19,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,AOC
