Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Annual Surfacing onThanedhar Bhutti Banot Nallah road SH Renewal Coat 25mm thick Bituminous Concrete in Km.5/000 to 8/000,Annual Surfacing on Thanedhar Bhutti Banot Nallah road SH Renewal Coat 25mm thick Bituminous Concrete in Km.5/000 to 8/000,Please refer Tender documents. ,NA ,"20,47,761",Civil Works,NA ,Tender,90.0,60.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,500.0,EE Kumarsain,Kumarsain,No,"38,216",No,fixed,,EE Kumarsain,Kumarsain,25-Jan-2019 11:00 AM,06-Feb-2019 11:00 AM,25-Jan-2019 11:30 AM,05-Feb-2019 06:00 PM,NA ,NA ,25-Jan-2019 11:30 AM,05-Feb-2019 06:00 PM,14-Feb-2019 11:00 AM,1.0,DD - Demand Draft,Executive Engineer,Kumarsain Division HPPWD Kumarsain,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),PWD,PW-KMS-AB-NIT/2018 11800-801 dt 17.1.2019,2019_PWD_26301_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,110436.0,Arun Mehta,03-Feb-2019 04:36 PM,Accepted-AOC,AOC,30-Apr-2019 04:02 PM,Technical,Bid Opening Summary,Manoj Kumar Sehgal,07-Feb-2019 10:09 AM,technical_37156.pdf,Finance,Technical Bid Summary,Manoj Kumar Sehgal,16-Feb-2019 10:54 AM,finance_37156.pdf,BOQ Comparative Chart,1.0,110436.0,Arun Mehta,INR,"2,961,676",PWD,2019_PWD_26301_1,PW-KMS-AB-NIT/2018 11800-801 dt 17.1.2019,Annual Surfacing onThanedhar Bhutti Banot Nallah road SH Renewal Coat 25mm thick Bituminous Concrete in Km.5/000 to 8/000,Er. Manoj Sehgal,Internal,Superintendent Gr-II HDM and Senior Assistant Account Branch,Manoj Kumar Sehgal,12-Feb-2019 03:57 PM,14-Feb-2019 11:00 AM,techsummary_37156.pdf (415.96 KB),Er.Manoj Sehgal,Internal,Supdt Gr-II HDM and DA,Manoj Kumar Sehgal,30-Apr-2019 03:33 PM,finsummary_37156.pdf (415.96 KB),30-Apr-2019,"INR 3,540,924",60.0,Manoj Kumar Sehgal,30-Apr-2019 04:02 PM,Tdr.pdf (365.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,AOC,2.0,110465.0,Tara Chand Mehta,03-Feb-2019 08:19 PM,Rejected-Finance,Reject,30-Apr-2019 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
