Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
05-Apr-2019,"INR 1,176,123",90.0,Ajay Kumar Sharma,05-Apr-2019 01:43 PM,aoc.pdf (814.00 KB),AOC,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,05-Apr-2019 01:41 PM,finsummary_38850.pdf (335.87 KB),Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,01-Mar-2019 06:35 PM,02-Mar-2019 10:30 AM,techsummary_38850.pdf (737.38 KB),PWD,2019_PWD_27232_6,CB/Tender/2018-19-12256-12305 dt 24.01.2019,"Periodical renewal on Kolar Bilaspur Road (SH Providing and Laying wet mix macadam GSB 50 mm bituminous macadam, 30 mm bituminous concrete unlined drain between km RD 4/00 to 5/00) under AMP MDR for the year 2019-20",1.0,114764.0,Chanana Cont. Works,INR,"1,436,632",Finance,Summary,Ajay Kumar Sharma,05-Apr-2019 01:38 PM,finance_38850.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Ajay Kumar Sharma,01-Mar-2019 06:33 PM,technical_38850.pdf,1.0,114919.0,ARVIND KUMAR BANSAL,23-Feb-2019 07:02 PM,Rejected-Finance,L3,05-Apr-2019 01:41 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,1.0,DD - Demand Draft,"Periodical renewal on Kolar Bilaspur Road (SH Providing and Laying wet mix macadam GSB 50 mm bituminous macadam, 30 mm bituminous concrete unlined drain between km RD 4/00 to 5/00) under AMP MDR for the year 2019-20","Periodical renewal on Kolar Bilaspur Road (SH Providing and Laying wet mix macadam GSB 50 mm bituminous macadam, 30 mm bituminous concrete unlined drain between km RD 4/00 to 5/00) under AMP MDR for the year 2019-20",As per Tender document ,NA ,"11,76,123",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE Paonta Sahib,No ,No,Executive Engineer,Executive Engineer PWD Paonta Sahib,PWD,CB/Tender/2018-19-12256-12305 dt 24.01.2019,2019_PWD_27232_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,14-Feb-2019 10:00 AM,25-Feb-2019 11:30 AM,14-Feb-2019 11:30 AM,25-Feb-2019 10:00 AM,NA ,NA ,14-Feb-2019 05:00 PM,25-Feb-2019 10:00 AM,02-Mar-2019 10:30 AM,"23,600",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,500.0,EE Paonta Sahib,Paonta Sahib,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,114764.0,Chanana Cont. Works,22-Feb-2019 11:29 PM,Accepted-AOC,L1,05-Apr-2019 01:43 PM,AOC,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,114866.0,S.S. Associates,23-Feb-2019 06:42 PM,Rejected-Finance,L2,05-Apr-2019 01:41 PM,AOC,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
