Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
01-Apr-2019,"INR 2,001,411",60.0,Arvind Kumar,01-Apr-2019 02:26 PM,Award.pdf (430.00 KB),Award of Contract,Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Naresh Kumar HDM and smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,01-Apr-2019 02:24 PM,finsummary_36989.pdf (30.65 KB),Er Arvind Sharma EE B and R Solan,Internal,Shri Deeepak Anand Senior DAO Solan Shri Naresh Kumar HDM and Smt Rekha Supdt Grade II PMGSY,Arvind Kumar,11-Feb-2019 04:39 PM,11-Feb-2019 04:45 PM,techsummary_36989.pdf (36.57 KB),PWD,2019_PWD_26209_1,14836-44 dated 09.01.2019 on Paughat Haripur AMP,Periodical renewal under AMp for the Year 201920 on Paughat haripur road Km0/00 to 5/500,Finance,fin,Arvind Kumar,12-Feb-2019 02:40 PM,finance_36989.pdf,BOQ Comparative Chart,1.0,110033.0,Shubham Construction,INR,"2,001,410.5",Technical,Bid opening summary,Arvind Kumar,11-Feb-2019 04:33 PM,technical_36989.pdf,1.0,110165.0,naresh vij govt contractor,02-Feb-2019 10:21 AM,Rejected-AOC,L2,01-Apr-2019 02:26 PM,AOC,1.0,DD - Demand Draft,PWD,14836-44 dated 09.01.2019 on Paughat Haripur AMP,2019_PWD_26209_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE B and R Division HPPWD Solan,EE Solan,No,Periodical renewal under AMp for the Year 201920 on Paughat haripur road Km0/00 to 5/500,SH providing and laying BC in Km 3/0 to 4/0 and 4/0 to 5/0,Please refer Tender documents. ,NA ,"16,59,525",Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,23-Jan-2019 04:30 PM,06-Feb-2019 11:00 AM,23-Jan-2019 04:30 PM,06-Feb-2019 10:30 AM,NA ,NA ,23-Jan-2019 04:30 PM,06-Feb-2019 10:30 AM,11-Feb-2019 04:45 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,EE B and R Solan,EE B and R Division HPPWD Solan,"32,400",No,fixed,,EE B and R Division HPPWD Solan,EE Solan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,110033.0,Shubham Construction,02-Feb-2019 09:10 AM,Accepted-AOC,L1,01-Apr-2019 02:26 PM,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registraiton reffer general rules No 23,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registraton refer general rules no 21,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 19 schedule F,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18 proof of ownership",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8refer in SBD Documents,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,AOC
