Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,PWD-BD-NIT-2018-19/4051-75,2018_PWD_22075_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,05-Jul-2018 10:00 AM,28-Jul-2018 11:00 AM,05-Jul-2018 11:00 AM,28-Jul-2018 10:30 AM,NA ,NA ,05-Jul-2018 11:00 AM,28-Jul-2018 10:30 AM,08-Aug-2018 11:00 AM,350.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"11,000",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,Restoration of Rain Damages on Deol Tatwani via Karnathu road Km 0/0 to 4/0,Construction of wire crate B/Wall to protect the land slide at Km 2/890 to 2/405,Please refer Tender documents. ,NA ,"5,48,999",Civil Works - Roads,NA ,Tender,90.0,90.0,Baijnath,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,AOC,1.0,90323.0,Rajeev Kumar,27-Jul-2018 04:26 PM,Rejected-Finance,Higher Side,27-Apr-2019 01:12 PM,Technical,Four bidders participated in this work and found responsive. Hence tender recommended by committee to open financial bid.,Sanjiv Kumar,04-Aug-2018 04:19 PM,technical_31112.pdf,1.0,90328.0,RISHI KESH,INR,"456,123",Finance,Financial Bid of the said work open on 8.8.2018 successfully.,Sanjiv Kumar,27-Apr-2019 01:09 PM,finance_31112.pdf,BOQ Comparative Chart,Er. S.K. Sood,Internal,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open financial bid,Sanjiv Kumar,04-Aug-2018 04:22 PM,08-Aug-2018 11:00 AM,techsummary_31112.pdf (671.37 KB),PWD,2018_PWD_22075_1,PWD-BD-NIT-2018-19/4051-75,Restoration of Rain Damages on Deol Tatwani via Karnathu road Km 0/0 to 4/0,27-Apr-2019,"INR 548,999",90.0,Sanjiv Kumar,27-Apr-2019 01:15 PM,Adol.pdf (244.00 KB),Financial Bid of the said work open successfully on 8.8.2018 and work awarded to Sh. Rishi Kesh R/O Dharer.,Er SK Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,27-Apr-2019 01:12 PM,finsummary_31112.pdf (194.08 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Cost of Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,90354.0,Rakesh Kapoor,28-Jul-2018 10:28 AM,Rejected-Finance,Higher Side,27-Apr-2019 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,90328.0,RISHI KESH,27-Jul-2018 05:17 PM,Accepted-AOC,Lower Side,27-Apr-2019 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration, PAN No",,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,90336.0,Shalabh Awasthi,27-Jul-2018 05:41 PM,Rejected-Finance,Higher Side,27-Apr-2019 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done 40 percent of the estimated cost as per mentioned SBD document,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
