Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
EE,Internal,Supdt HDM DAO,Santosh Kumar Katoch,10-Apr-2019 09:16 AM,finsummary_28122.pdf (146.30 KB),10-Apr-2019,"INR 1,044,498",60.0,Santosh Kumar Katoch,10-Apr-2019 09:18 AM,Lakoh.pdf (146.00 KB),AMP on Sanghian Da Tiyla to Lakoh road,PWD,2018_PWD_19909_1,AMP on Sanghian Da Tiyla to Lakoh road,AMP on Sanghian Tiyala to Lakoh road,Executive Engineer,Internal,Supdt HDM DAO,Santosh Kumar Katoch,04-Apr-2018 03:11 PM,05-Apr-2018 11:30 AM,techsummary_28122.pdf (412.41 KB),1.0,79042.0,KASMIR SINGH CONTACTOR,INR,"1,206,695",Finance,finbid,Santosh Kumar Katoch,07-Apr-2018 12:07 PM,finance_28122.pdf,BOQ Comparative Chart,Technical,Tech bid,Santosh Kumar Katoch,04-Apr-2018 03:07 PM,technical_28122.pdf,1.0,79042.0,KASMIR SINGH CONTACTOR,16-Mar-2018 09:54 PM,Accepted-AOC,L 1,10-Apr-2019 09:18 AM,AOC,AMP on Sanghian Tiyala to Lakoh road,P/L BC 25mm thick in km. 1/0 to 2/525,Please refer Tender documents. ,NA ,"10,44,497",Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,Executive Engineer,Executive Engineer HPPWD Division Barsar,05-Mar-2018 10:30 AM,17-Mar-2018 11:30 AM,05-Mar-2018 10:30 AM,17-Mar-2018 10:30 AM,NA ,NA ,05-Mar-2018 10:30 AM,17-Mar-2018 10:30 AM,05-Apr-2018 11:30 AM,1.0,DD - Demand Draft,"20,900",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,PWD,AMP on Sanghian Da Tiyla to Lakoh road,2018_PWD_19909_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,79168.0,Vijay Kumar,16-Mar-2018 10:23 PM,Rejected-Finance,L 2,10-Apr-2019 09:16 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Sale Tax Registration certificate,GST , EPF No. and Labour Licence",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit (Plant and paver must be requi,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. that the information submitted by the bidder is true and correct,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00 lacs or more in any ci,,,,,AOC
