Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
15-Oct-2018 05:00 PM,25-Oct-2018 11:30 AM,15-Oct-2018 05:00 PM,23-Oct-2018 05:00 PM,NA ,NA ,15-Oct-2018 05:00 PM,23-Oct-2018 05:00 PM,03-Nov-2018 11:00 AM,1.0,DD - Demand Draft,350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,PWD,PW-JND-B and R-EA-I-NIT-13414-13513 dt. 29.09.2018,2018_PWD_24057_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar",1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),Improvement of Black Spot on Baijnath Jatehar Golwan Draman Ahju Chowki Sainthal Dohag Joginder Nagar Garoru Majharnu Bassi Kundani Manoh Kas Bhararu Bihun Nauhli Damela Padhar road (MDR-56),Construction of W Metal beam crash barriers system at km 20/150 to 20/400,As per bid documents ,NA ,"7,78,595",Civil Works - Roads,NA ,Tender,120.0,90.0,Tullah,175032.0,NA ,NA ,NA ,Joginder Nagar,No ,No,"15,600",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,AOC,Finance,fbosummary,Bhag Mal Thakur,06-Nov-2018 01:09 PM,finance_33621.pdf,BOQ Comparative Chart,1.0,98318.0,RAKESH SHARMA,INR,"829,499",1.0,98321.0,Dinesh Kumar,23-Oct-2018 01:55 PM,Rejected-Finance,l2,06-Nov-2018 01:20 PM,Technical,summary,Bhag Mal Thakur,27-Oct-2018 04:01 PM,technical_33621.pdf,Er B.M. Thakur,Internal,AE Lad Bharol HDM Sr.DAO Supdt.,Bhag Mal Thakur,02-Nov-2018 04:00 PM,03-Nov-2018 11:00 AM,techsummary_33621.pdf (282.69 KB),PWD,2018_PWD_24057_1,PW-JND-B and R-EA-I-NIT-13414-13513 dt. 29.09.2018,Improvement of Black Spot on Baijnath Jatehar Golwan Draman Ahju Chowki Sainthal Dohag Joginder Nagar Garoru Majharnu Bassi Kundani Manoh Kas Bhararu Bihun Nauhli Damela Padhar road (MDR-56),16-Apr-2019,"INR 829,499",90.0,Bhag Mal Thakur,16-Apr-2019 03:09 PM,AOC24057.pdf (425.00 KB),AOC,Er B.M. Thakur,Internal,AE Lad Bharol Sr.DAO HDM Supdt.,Bhag Mal Thakur,06-Nov-2018 01:20 PM,finsummary_33621.pdf (379.05 KB),AOC
,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,98318.0,RAKESH SHARMA,23-Oct-2018 01:31 PM,Accepted-AOC,AOC,16-Apr-2019 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,98275.0,Sunil Kumar,23-Oct-2018 01:24 PM,Rejected-Finance,L3,06-Nov-2018 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
