Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
500.0,EE Gohar,Gohar,Yes,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Periodical Maintenance of Kot Devidarh road km. 0/0 to 19/0 SH Providing and laying Bituminious concrete 25 mm. thick in single layer in km. 6/0 to 8/0,SH Providing and laying Bituminious concrete 25 mm. thick in single layer in km. 6/0 to 8/0,Please refer Tender documents. ,NA ,"15,82,339",Civil Works,NA ,Rate Contract,120.0,60.0,Gohar,175029.0,NA ,NA ,NA ,Gohar,No ,No,PWD,18500-25 dt. 15.1.2019,2019_PWD_26372_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,1.0,DD - Demand Draft,"31,300",Yes,fixed,,EE Gohar,Gohar,30-Jan-2019 05:00 PM,15-Feb-2019 11:30 AM,30-Jan-2019 05:00 PM,14-Feb-2019 05:00 PM,NA ,NA ,30-Jan-2019 05:30 PM,14-Feb-2019 05:00 PM,22-Feb-2019 11:00 AM,EEHPPWD Gohar,"Executive Engineer Gohar Division, HPPWD Gohar",AOC,PWD,2019_PWD_26372_1,18500-25 dt. 15.1.2019,Periodical Maintenance of Kot Devidarh road km. 0/0 to 19/0 SH Providing and laying Bituminious concrete 25 mm. thick in single layer in km. 6/0 to 8/0,EE Ramesh Singh,Internal,"Chaman Lal AE, Rattan Lal Supdt.Bhagat Ram HDM",Ramesh Singh,21-Feb-2019 03:29 PM,22-Feb-2019 11:00 AM,techsummary_37323.pdf (371.09 KB),EE Ramesh Singh,Internal,Kehar Singh Supdt. Bhagat Ram HDM,Ramesh Singh,12-Apr-2019 01:05 PM,finsummary_37323.pdf (270.81 KB),22-Apr-2019,"INR 1,582,339",30.0,Ramesh Singh,22-Apr-2019 10:02 AM,12.pdf (388.00 KB),AOC,1.0,112615.0,A.A. ENTREPRENEURS,13-Feb-2019 08:46 PM,Accepted-AOC,Lowest,22-Apr-2019 10:02 AM,Technical,Technical Summary,Ramesh Singh,21-Feb-2019 02:57 PM,technical_37323.pdf,1.0,112615.0,A.A. ENTREPRENEURS,INR,"2,012,375",Finance,Financial Summary,Ramesh Singh,12-Apr-2019 01:04 PM,finance_37323.pdf,BOQ Comparative Chart,AOC
,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112630.0,S.A ASSOCIATE,13-Feb-2019 09:41 PM,Rejected-AOC,Second Lowest,22-Apr-2019 10:02 AM,,,,,,,,,,,,,,,,,AOC
,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work done condition Minimum one similar work done of amount not less than 40Precent Rule,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical Manpower,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
