Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Tender Stage
PWD,PWP/CB/Tender/2018-9425-75 dt. 26.11.18,2018_PWD_24961_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE PWD Paonta Sahib,Paonta Sahib,Yes,"6,800",Yes,fixed,,EE PWD Paonta Sahib,Paonta Sahib,29-Nov-2018 04:30 PM,19-Dec-2018 11:30 AM,29-Nov-2018 05:00 PM,18-Dec-2018 05:00 PM,NA ,NA ,29-Nov-2018 05:00 PM,18-Dec-2018 05:00 PM,29-Dec-2018 04:00 PM,Construction of link road upto Lal Tappad Jawalapur i/c construction of bridge km 0/0 to 1/700 (SH Providing and laying premix carpet surfacing in km 0/0 to 0/500).,Construction of link road upto Lal Tappad Jawalapur i/c construction of bridge km 0/0 to 1/700 (SH Providing and laying premix carpet surfacing in km 0/0 to 0/500).,Please refer Tender documents. ,NA ,"3,37,223",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE PWD Paonta,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,EE PWD Paonta Sahib,EE PWD Paonta Sahib Distt Sirmour,AOC,PWD,2018_PWD_24961_1,PWP/CB/Tender/2018-9425-75 dt. 26.11.18,Construction of link road upto Lal Tappad Jawalapur i/c construction of bridge km 0/0 to 1/700 (SH Providing and laying premix carpet surfacing in km 0/0 to 0/500).,Er.Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,29-Dec-2018 01:14 PM,29-Dec-2018 04:00 PM,techsummary_34954.pdf (549.46 KB),Finance,summary,Ajay Kumar Sharma,03-Mar-2019 04:54 PM,finance_34954.pdf,BOQ Comparative Chart,1.0,103678.0,RANJEET SINGH,18-Dec-2018 11:47 AM,Accepted-AOC,L1,11-Apr-2019 03:54 PM,Technical,Bid Opening Summary,Ajay Kumar Sharma,29-Dec-2018 12:36 PM,technical_34954.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,AOC,,,,,,,,,,,,,,,,,,2.0,103591.0,Ravinder Singh,17-Dec-2018 03:06 PM,Rejected-Finance,L2,03-Mar-2019 04:58 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant along with proof of owner ship i.e.R.C. and purchase bills S.No 6.19 Re,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
