Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
12-Apr-2018 05:00 PM,23-Apr-2018 11:00 AM,12-Apr-2018 05:30 PM,21-Apr-2018 06:00 PM,NA ,NA ,12-Apr-2018 05:30 PM,21-Apr-2018 06:00 PM,25-Apr-2018 04:15 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),350.0,EE Kumarsain,Kumarsain,No,1.0,DD - Demand Draft,PWD,PW-KMS-AB-NIT/21018-182-84 dt.09.04.2018,2018_PWD_20693_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Annual surfacing on Thanedhar Bhutti Banot Nallah road Km 0/000 to 9/000 SH Renewal coat in 25mm thick Bituminous Concrete in Km 03/000 to 04/000,Annual surfacing on Thanedhar Bhutti Banot Nallah road Km 0/000 to 9/000 SH Renewal coat in 25mm thick Bituminous Concrete in Km 03/000 to 04/000,Please refer Tender documents. ,NA ,"7,66,531",Civil Works,NA ,Tender,90.0,30.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,Executive Engineer,Kumarsain Division HPPWD Kumarsain,"15,350",No,fixed,,EE Kumarsain,Kumarsain,AOC,1.0,82540.0,Arun Mehta,20-Apr-2018 05:18 PM,Rejected-Finance,Rejected,23-Apr-2019 05:17 PM,Technical,Bid Opening summary,Umesh Sharma,23-Apr-2018 04:26 PM,technical_29278.pdf,Finance,Technical bid summary,Umesh Sharma,25-Apr-2018 04:37 PM,finance_29278.pdf,BOQ Comparative Chart,1.0,82498.0,Tara Chand Mehta,INR,"1,055,115",Er.Umesh Sharma,Internal,"Supdt Gr I, DA and Draugtsman",Umesh Sharma,25-Apr-2018 04:04 PM,25-Apr-2018 04:15 PM,techsummary_29278.pdf (1099.16 KB),PWD,2018_PWD_20693_1,PW-KMS-AB-NIT/21018-182-84 dt.09.04.2018,Annual surfacing on Thanedhar Bhutti Banot Nallah road Km 0/000 to 9/000 SH Renewal coat in 25mm thick Bituminous Concrete in Km 03/000 to 04/000,24-Apr-2019,"INR 1,055,115",30.0,Manoj Kumar Sehgal,24-Apr-2019 02:57 PM,Thanedhar.pdf (250.00 KB),AOC,Er.Umesh Sharma,Internal,Supdt Gr-II HDM and DA,Manoj Kumar Sehgal,23-Apr-2019 05:17 PM,finsummary_29278.pdf (1099.33 KB),AOC
,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,82498.0,Tara Chand Mehta,20-Apr-2018 02:24 PM,Accepted-AOC,AOC,24-Apr-2019 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
