Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Bid Opening summary,Umesh Sharma,05-May-2018 12:53 PM,technical_29281.pdf,1.0,83141.0,Om Prakash Mehta,01-May-2018 11:53 AM,Accepted-AOC,AOC,25-Apr-2019 01:14 PM,Er.Umesh Sharma,Internal,Supdt Gr-II DA and HDM,Umesh Sharma,05-May-2018 01:04 PM,05-May-2018 01:10 PM,techsummary_29281.pdf (1396.38 KB),PWD,2018_PWD_20695_1,PW-KMS-AB-NIt/2018-19-109-10 dt.06.04.2018,Annual surfacing on Narkanda Thanedhar Kotgarh Bithal road Km 0/000 to 44/000MDR SH Renewal coat 25mm thick Bituminous Concrete in Km 7/000 to 9/000 11/000 to 12/000 14/000 to 18/000 19/000 to 21/000 and 31/000 to 32/000,AOC,PWD,PW-KMS-AB-NIt/2018-19-109-10 dt.06.04.2018,2018_PWD_20695_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,04,800",No,fixed,,EE Kumarsain,Kumarsain,Executive Engineer,"Kumarsain Division HPPWD,Kumarsain",Annual surfacing on Narkanda Thanedhar Kotgarh Bithal road Km 0/000 to 44/000MDR SH Renewal coat 25mm thick Bituminous Concrete in Km 7/000 to 9/000 11/000 to 12/000 14/000 to 18/000 19/000 to 21/000 and 31/000 to 32/000,Annual surfacing on Narkanda Thanedhar Kotgarh Bithal road Km 0/000 to 44/000MDR SH Renewal coat 25mm thick Bituminous Concrete in Km 7/000 to 9/000 11/000 to 12/000 14/000 to 18/000 19/000 to 21/000 and 31/000 to 32/000,Please refer Tender documents. ,NA ,"72,23,207",Civil Works,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,20-Apr-2018 05:00 PM,04-May-2018 11:00 AM,20-Apr-2018 05:30 PM,03-May-2018 06:00 PM,NA ,NA ,20-Apr-2018 05:30 PM,03-May-2018 06:00 PM,05-May-2018 01:10 PM,1.0,DD - Demand Draft,"2,000",EE Kumarsain,Kumarsain,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),AOC
,,,,,2.0,83351.0,Pawan Sood,03-May-2018 01:20 PM,Rejected-Finance,Reject,25-Apr-2019 10:08 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand Certificate (Gen Rule No 19, Min Amt Work done shown in Schedule F)",AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for Last Five Years alongwith balance sheet (Refer Schedule D),AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
