Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
500.0,EE PWD Paonta Sahib,Paonta Sahib,No,"20,500",No,fixed,,EE PWD Paonta Sahib,Paonta Sahib,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,EE PWD Paonta Sahib,EE PWD Paonta Sahib,1.0,DD - Demand Draft,04-May-2018 04:30 PM,24-May-2018 11:30 AM,04-May-2018 05:00 PM,23-May-2018 05:00 PM,NA ,NA ,04-May-2018 05:10 PM,23-May-2018 05:00 PM,31-May-2018 03:00 PM,Restoration of rain damages to link road from Haripur Tohana to Rampughat road km 0/0 to 2/200 (SH Providing and laying interlocking concrete Block pavement from RD 0/200 to 0/500).,Restoration of rain damages to link road from Haripur Tohana to Rampughat road km 0/0 to 2/200 (SH Providing and laying interlocking concrete Block pavement from RD 0/200 to 0/500).,Please refer tender documents  ,NA ,"10,23,741",Civil Works - Roads,NA ,Tender,60.0,60.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE PWD Paonta Sahib,No ,No,PWD,PWP/CB/Tender/2018-903-952 dt. 1-5-2018,2018_PWD_21025_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,Bid Opening Summary,Ajay Kumar Sharma,01-Jun-2018 11:07 AM,finance_29726.pdf,BOQ Comparative Chart,1.0,84672.0,JAI MAA NAINA DEVI,INR,"936,225",1.0,84864.0,atma ram,23-May-2018 07:57 AM,Rejected-Finance,L5,11-Apr-2019 04:06 PM,Technical,Bid opening Summary,Ajay Kumar Sharma,31-May-2018 11:34 AM,technical_29726.pdf,PWD,2018_PWD_21025_3,PWP/CB/Tender/2018-903-952 dt. 1-5-2018,Restoration of rain damages to link road from Haripur Tohana to Rampughat road km 0/0 to 2/200 (SH Providing and laying interlocking concrete Block pavement from RD 0/200 to 0/500).,Er. Ajay Kumar Sharma E.E,Internal,Sh. Devraj Junior Draughtsman Sh. Saran Singh Supdt Gr II. Smt. Neelam Gupta Supdt Gr. II Sh. Inder Singh Sr. Asstt.,Ajay Kumar Sharma,31-May-2018 11:36 AM,31-May-2018 03:00 PM,techsummary_29726.pdf (306.19 KB),Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Smt. Neelam Gupta Supdt. Gr.II, Sh. Dev Raj JDM",Ajay Kumar Sharma,11-Apr-2019 04:06 PM,finsummary_29726.pdf (380.73 KB),11-Apr-2019,"INR 1,023,741",60.0,Ajay Kumar Sharma,11-Apr-2019 04:10 PM,aoc.pdf (808.00 KB),AOC,AOC
,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,84981.0,DINESH KUMAR GUPTA,23-May-2018 03:17 PM,Rejected-Finance,L3,11-Apr-2019 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,84909.0,GAGAN KUMAR,22-May-2018 08:33 PM,Rejected-Finance,L4,11-Apr-2019 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Sales Tax Registration/GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,84672.0,JAI MAA NAINA DEVI,20-May-2018 09:50 PM,Accepted-AOC,L1,11-Apr-2019 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List of incomplete works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,84661.0,Shamshad Ali Contractor,23-May-2018 04:21 PM,Rejected-Finance,L2,11-Apr-2019 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Listofmachinerytoolplant alongwithproofofowner ship i.e.R.C.andpurchasebills S.No 6.19Ref.clauseno18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List of both gazatted and non gazatted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
