Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Technical,Attached,Vivek Sharma,11-Jan-2019 10:20 AM,technical_35878.pdf,1.0,106696.0,ANKITA DUBEY GOVT. CONTRACTOR,04-Jan-2019 07:30 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Jan-2019 10:20 AM,Finance,Attached,Dev Raj,14-Apr-2019 06:15 AM,finance_35878.pdf,BOQ Comparative Chart,1.0,106653.0,varun gupta,INR,"798,971",EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Apr-2019 11:28 AM,finsummary_35878.pdf (250.29 KB),19-Apr-2019,"INR 777,633",60.0,Vivek Sharma,19-Apr-2019 06:04 PM,25625A.pdf (751.00 KB),Award,PWD,2018_PWD_25625_1,Boundary wall with Gate Chamiana School,Construction of Boundary wall with Gate and retaining walls,EEHamirpu,Internal,SupdtHDMAEtoEESrDAO,Vivek Sharma,11-Jan-2019 10:29 AM,11-Jan-2019 01:00 PM,techsummary_35878.pdf (1580.42 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,PWD,Boundary wall with Gate Chamiana School,2018_PWD_25625_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"11,000",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,DD - Demand Draft,29-Dec-2018 11:00 AM,05-Jan-2019 11:30 AM,29-Dec-2018 11:00 AM,05-Jan-2019 10:30 AM,NA ,NA ,29-Dec-2018 11:00 AM,05-Jan-2019 10:30 AM,11-Jan-2019 01:00 PM,Construction of Boundary wall with Gate and retaining walls,at Govt High School Chamiana in Tehsil Sujanpur Distt Hamirpur,Please refer Tender documents. ,NA ,"5,48,558",Civil Works - Buildings,NA ,Tender,60.0,60.0,Chamiana,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,350.0,EE Hamirpur,EE Hamirpur,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,AOC
,,,,,2.0,106702.0,ASHWANI KUMAR GOVT. CONTRACTOR,04-Jan-2019 07:15 PM,Rejected-Technical,Rejected,11-Jan-2019 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,106734.0,Avtar Singh,05-Jan-2019 08:33 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Jan-2019 10:20 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,106682.0,SAJEEV KUMAR GOVT.CONTRACTOR,04-Jan-2019 06:53 PM,Rejected-AOC,l2,19-Apr-2019 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,106653.0,varun gupta,05-Jan-2019 06:58 AM,Accepted-AOC,l1,19-Apr-2019 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,106617.0,VIVEK GUPTA,04-Jan-2019 06:41 PM,Rejected-Technical,Rejected,11-Jan-2019 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
