Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,fbosummary,Bhag Mal Thakur,21-Feb-2019 03:22 PM,finance_37207.pdf,BOQ Comparative Chart,1.0,111566.0,YUDHVIR SINGH,INR,"1,939,048",Technical,summary,Piar Chand,12-Feb-2019 02:35 PM,technical_37207.pdf,1.0,111504.0,P. L. SHARMA,09-Feb-2019 02:05 PM,Rejected-Finance,L-2,11-Apr-2019 02:35 PM,12-Apr-2019,"INR 1,939,048",90.0,Bhag Mal Thakur,12-Apr-2019 04:33 PM,AOC343.pdf (421.00 KB),AOC,Er. B.M.Thakur,Internal,AE Lad Bharol Sr.DAO Supdt. HDM,Bhag Mal Thakur,11-Apr-2019 02:35 PM,finsummary_37207.pdf (358.10 KB),Er. B.M.Thakur,Internal,AE Lad Bharol Sr.DAO Supdt. HDM,Bhag Mal Thakur,20-Feb-2019 03:41 PM,21-Feb-2019 11:00 AM,techsummary_37207.pdf (290.44 KB),PWD,2019_PWD_26343_1,PW-JND-B and R-EA-I-NIT- 23721-23820 dt.14.01.2019,Periodical maintenance of Bhaila to Arla road (VR0082) (PMGSY road) under Annual Maintenance Plan 2019-20,AOC,500.0,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,No,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar",1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),Periodical maintenance of Bhaila to Arla road (VR0082) (PMGSY road) under Annual Maintenance Plan 2019-20,"Providing and laying built-up spray grout, 25mm thick Bituminous concrete in Km. 0/0 to 2/0",As per bid documents ,NA ,"15,25,481",Civil Works - Roads,NA ,Tender,120.0,90.0,Lad-Bharol,175032.0,NA ,NA ,NA ,Joginder Nagar,No ,No,"30,400",No,fixed,,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,28-Jan-2019 10:00 AM,11-Feb-2019 11:30 AM,28-Jan-2019 10:00 AM,09-Feb-2019 05:00 PM,NA ,NA ,28-Jan-2019 10:00 AM,09-Feb-2019 05:00 PM,21-Feb-2019 11:00 AM,1.0,DD - Demand Draft,PWD,PW-JND-B and R-EA-I-NIT- 23721-23820 dt.14.01.2019,2019_PWD_26343_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,111566.0,YUDHVIR SINGH,09-Feb-2019 01:41 PM,Accepted-AOC,AOC,12-Apr-2019 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
