EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"6,200",No,fixed,,EE NH Division HPPWD Nahan,Nahan,Ordinary repair to NH 72B (New NH707) Paonta Rajban Shillai Meenus Hatkoti road Km 0/0 to 161/715 (SH Removal of slips Construction of Breast wall in wire crates at RD 82/900 to 82/920 and C/o PCC Retaining wall at RD 82/886 to 82/892),Ordinary repair to NH 72B (New NH707) Paonta Rajban Shillai Meenus Hatkoti road Km 0/0 to 161/715 (SH Removal of slips Construction of Breast wall in wire crates at RD 82/900 to 82/920 and C/o PCC Retaining wall at RD 82/886 to 82/892),refer tender document ,NA ,"3,07,303",Civil Works - Roads,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,PWD,NIT No. 12456 - 95 dated 01.01.2019,2019_PWD_25940_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,15-Jan-2019 05:00 PM,30-Jan-2019 11:30 AM,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,NA ,NA ,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,12-Feb-2019 03:00 PM,Executive Engineer,Executive Engineer NH Division HPPWD Nahan,350.0,EE NH Division HPPWD Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),AOC,PWD,2019_PWD_25940_1,NIT No. 12456 - 95 dated 01.01.2019,Ordinary repair to NH 72B (New NH707) Paonta Rajban Shillai Meenus Hatkoti road Km 0/0 to 161/715 (SH Removal of slips Construction of Breast wall in wire crates at RD 82/900 to 82/920 and C/o PCC Retaining wall at RD 82/886 to 82/892),Er. VK Aggarwal,Internal,TA Supttd DHD DAO AE Dhaulakuan,Vijay Kumar Aggarwal,12-Feb-2019 01:38 PM,12-Feb-2019 03:00 PM,techsummary_36489.pdf (2965.96 KB),Er VK Aggarwal,Internal,TA Supttd DHD DAO AE,Vijay Kumar Aggarwal,01-Apr-2019 12:12 PM,finsummary_36489.pdf (103.86 KB),01-Apr-2019,"INR 307,303",90.0,Vijay Kumar Aggarwal,01-Apr-2019 02:52 PM,award82_900to82_892.PDF (776.00 KB),Award,1.0,109534.0,Inder Singh Pundir,INR,"310,583",Finance,Summary,Vijay Kumar Aggarwal,01-Apr-2019 12:01 PM,finance_36489.pdf,BOQ Comparative Chart,1,109414,Anil Sharma,28-Jan-2019 03:50 PM,Rejected-AOC,4th lowest,01-Apr-2019 02:52 PM,Technical,Summary,Vijay Kumar Aggarwal,12-Feb-2019 12:36 PM,technical_36489.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,109462,atma ram,28-Jan-2019 09:26 PM,Rejected-AOC,6th lowest,01-Apr-2019 02:52 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,109288,bhajan singh,29-Jan-2019 02:37 PM,Rejected-Technical,Non responsive,12-Feb-2019 01:38 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,109603,BIR SINGH,29-Jan-2019 03:59 PM,Rejected-AOC,7th lowest,01-Apr-2019 02:52 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,109534,Inder Singh Pundir,29-Jan-2019 06:56 PM,Accepted-AOC,1st lowest,01-Apr-2019 02:52 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,109581,JAGDISH CHAND,29-Jan-2019 03:17 PM,Rejected-AOC,5th lowest,01-Apr-2019 02:52 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,109623,Kuldeep Singh,29-Jan-2019 04:59 PM,Rejected-AOC,3rd lowest,01-Apr-2019 02:52 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide mentioned in Schdule D),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,109571,M/s BHAWAN SINGH,30-Jan-2019 10:18 AM,Rejected-Technical,Non responsive,12-Feb-2019 01:38 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,109554,narayan singh,29-Jan-2019 02:17 PM,Rejected-Technical,Non responsive,12-Feb-2019 01:38 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,109341,Natta Ram,28-Jan-2019 09:01 PM,Rejected-Technical,Non responsive,12-Feb-2019 01:38 PM,,,,,,AOC
