Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Technical,Three bidders participated in this tender and found responsive. Hence tender recommended by committee to open financial bid.,Sanjiv Kumar,09-Apr-2018 03:44 PM,technical_28270.pdf,1.0,80628.0,G.P.ACHARYA,29-Mar-2018 12:28 AM,Rejected-AOC,Higher Side,08-Apr-2019 11:43 AM,Finance,Financial Bid of the said work open successfully on 10.4.2018 and work awarded to contractor on 29.6.2018 to Sh. Yudhvir Singh R/O Ropri.,Sanjiv Kumar,08-Apr-2019 11:39 AM,finance_28270.pdf,BOQ Comparative Chart,08-Apr-2019,"INR 2,057,501",60.0,Sanjiv Kumar,08-Apr-2019 11:43 AM,AwardBehot.pdf (269.00 KB),Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,08-Apr-2019 11:41 AM,finsummary_28270.pdf (135.82 KB),Er. S.K. Sood,Internal,Sh. Rajinder Chaudhary Sr. Divisional Account Officer Sh. Vidhya Sagar DHD Sh. Subhash Purshan Superintendent G-II Er. R.K. Sharma A.E. Panchurkhi,Sanjiv Kumar,09-Apr-2018 03:45 PM,10-Apr-2018 11:00 AM,techsummary_28270.pdf (531.63 KB),PWD,2018_PWD_20004_1,PWD-BD-Tender-17-18/14757-80,Periodic Maintenance of Baijnath Behot Road DRRP No. HP0403VR0002 (AMP 2018-19 PMGSY roads),AOC,08-Mar-2018 02:00 PM,29-Mar-2018 11:00 AM,08-Mar-2018 02:00 PM,29-Mar-2018 10:30 AM,NA ,NA ,08-Mar-2018 05:00 PM,29-Mar-2018 10:30 AM,10-Apr-2018 11:00 AM,1.0,Estimated Cost and Earnest Money Change,Other,,1.0,DD - Demand Draft,"38,400",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,PWD,PWD-BD-Tender-17-18/14757-80,2018_PWD_20004_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Periodic Maintenance of Baijnath Behot Road DRRP No. HP0403VR0002 (AMP 2018-19 PMGSY roads),"Providing and Laying built up spray grout single layer, Tack coat and Bituminous concrete at Km 11/0 to 14/0",Please refer Tender documents. ,NA ,"20,57,501",Civil Works - Roads,NA ,Tender,90.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,AOC
,,,,,2.0,80593.0,P. L. SHARMA,29-Mar-2018 09:19 AM,Rejected-AOC,Higher side,08-Apr-2019 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,80620.0,YUDHVIR SINGH,29-Mar-2018 12:00 AM,Accepted-AOC,Lower Side,08-Apr-2019 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration, PAN No",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done 40 percent of the estimated cost as per mentioned SBD document at clause 28.2.b,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required as Sr. No. 6.19 clause No 18.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
