S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,DD - Demand Draft,23-Jan-2019 05:00 PM,31-Jan-2019 11:30 AM,23-Jan-2019 05:00 PM,30-Jan-2019 05:00 PM,NA ,NA ,23-Jan-2019 05:00 PM,30-Jan-2019 05:00 PM,16-Feb-2019 11:00 AM,PWD,BGN.CB.T-1/2018-19-15159-72 Dated 26.12.2018,2019_PWD_26215_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,350.0,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"10,650",No,fixed,,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,C/o Harizan Basti Nari to Jhamber km.000 to 100,SH Providing paver block flooring in km00 to 0100 R/wall at RD 00 to 0030,Please refer Tender documents. ,NA ,"5,31,416",Civil Works - Roads,NA ,Tender,120.0,30.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,AOC,EE,Internal,GASupdtHDADAOAE,Ram Saroop Kalia,14-Feb-2019 08:08 PM,16-Feb-2019 11:00 AM,techsummary_37012.pdf (92.30 KB),PWD,2019_PWD_26215_1,BGN.CB.T-1/2018-19-15159-72 Dated 26.12.2018,C/o Harizan Basti Nari to Jhamber km.000 to 100,03-Apr-2019,"INR 531,416",30.0,Ram Saroop Kalia,03-Apr-2019 01:08 PM,02.pdf (120.00 KB),Award letter,EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,03-Apr-2019 01:06 PM,finsummary_37012.pdf (120.45 KB),1.0,109915.0,Manoj Kumar,30-Jan-2019 04:23 PM,Rejected-Finance,Reject due to higher side from L-1,03-Apr-2019 01:06 PM,Technical,Technicalevaluationsummary,Ram Saroop Kalia,14-Feb-2019 08:06 PM,technical_37012.pdf,Finance,bid opening summary,Ram Saroop Kalia,03-Apr-2019 12:56 PM,None,BOQ Comparative Chart,1.0,109921.0,Parvesh Kumar Sharma,INR,"468,766",AOC
2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,109921.0,Parvesh Kumar Sharma,30-Jan-2019 04:19 PM,Accepted-AOC,Accept due to L-1,03-Apr-2019 01:08 PM,,,,,,,,,,,,,,,,,AOC
3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 28.1),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
