Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Balance work of Health Sub- Centre Jeory at Tattapani.,"Construction of two rooms,clinic,bathroom Kitchen",Please refer Tender documents. ,NA ,"6,09,306",Civil Works,NA ,Tender,90.0,365.0,KARSOG,175011.0,NA ,NA ,NA ,KARSOG,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,500.0,EE KARSOG,KARSOG,Yes,PWD,KSG_ETENDERS/2018-198902-9 DT 02.12.2018,2018_PWD_25116_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,04-Dec-2018 09:00 AM,13-Dec-2018 12:00 PM,04-Dec-2018 09:00 AM,10-Dec-2018 10:00 AM,NA ,NA ,04-Dec-2018 09:00 AM,10-Dec-2018 10:00 AM,17-Dec-2018 01:15 PM,"12,200",Yes,fixed,,EE KARSOG,KARSOG,EE KARSOG,KARSOG TEHSIL KARSOG DISTT MANDI HP,1.0,DD - Demand Draft,AOC,1.0,102930.0,SUDESH KUMAR GOVT CONTRACTOR,INR,"775,837.8",Finance,ATTA,Maan Singh,17-Dec-2018 01:43 PM,finance_35122.pdf,BOQ Comparative Chart,1.0,102926.0,HET RAM GOVT CONTRACTOR,08-Dec-2018 05:21 PM,Rejected-Finance,REJECTED,11-Apr-2019 07:37 PM,Technical,ATTACHED,Chaman Singh,17-Dec-2018 01:08 PM,technical_35122.pdf,MANN SINGH,Internal,,Chaman Singh,17-Dec-2018 01:10 PM,17-Dec-2018 01:15 PM,techsummary_35122.pdf (509.17 KB),PWD,2018_PWD_25116_1,KSG_ETENDERS/2018-198902-9 DT 02.12.2018,Balance work of Health Sub- Centre Jeory at Tattapani.,04-Nov-2019,"INR 774,468",365.0,Maan Singh,11-Apr-2019 08:14 PM,25116.pdf (194.00 KB),,MAAN SINGH,Internal,na,Maan Singh,11-Apr-2019 07:37 PM,finsummary_35122.pdf (194.17 KB),AOC
,,,,,,,,,,,,,,,,,,,,.pdf,EMD Indicated In Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC,,,,,,,,,,,,2.0,102930.0,SUDESH KUMAR GOVT CONTRACTOR,08-Dec-2018 07:00 PM,Accepted-AOC,OK,11-Apr-2019 08:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
