Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
21-Apr-2019,"INR 15,837,582",30.0,Vivek Sharma,21-Apr-2019 06:10 AM,24200A.pdf (1254.00 KB),Award,EEhamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,20-Apr-2019 05:11 PM,finsummary_33818.pdf (636.09 KB),EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,04-Nov-2018 12:56 PM,06-Nov-2018 09:30 AM,techsummary_33818.pdf (1110.60 KB),PWD,2018_PWD_24200_1,C/O approaches of Dugha Bridge on Mattan Sidh,C/O approaches of Dugha Bridge on Mattan Sidh to Hamirpur road Km 0/0 to 5/400,Technical,Attached,Dev Raj,04-Nov-2018 12:37 PM,technical_33818.pdf,1.0,98780.0,ASHISH SHARMA,28-Oct-2018 08:57 PM,Accepted-AOC,l1,21-Apr-2019 06:10 AM,Finance,Attached,Vivek Sharma,06-Jan-2019 03:45 PM,finance_33818.pdf,BOQ Comparative Chart,1.0,98780.0,ASHISH SHARMA,INR,"15,837,582",AOC,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,EE Hamirpur,Executive Engineer HPPWD Hamirpur,22-Oct-2018 06:00 PM,29-Oct-2018 03:00 PM,22-Oct-2018 06:00 PM,29-Oct-2018 10:30 AM,NA ,NA ,22-Oct-2018 06:00 PM,29-Oct-2018 10:30 AM,06-Nov-2018 09:30 AM,1.0,DD - Demand Draft,"1,96,000",No,fixed,,EE Hamirpur,EE Hamirpur,PWD,C/O approaches of Dugha Bridge on Mattan Sidh,2018_PWD_24200_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",EE Hamirpur,EE Hamirpur,No,C/O approaches of Dugha Bridge on Mattan Sidh to Hamirpur road Km 0/0 to 5/400,SH Providing and laying WMM BM BC Thermoplastic compound and cement concrete drain in Km. 0/0 to 2/0 etc,Please refer Tender documents. ,NA ,"1,63,09,944",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,98768.0,Piar Chand Chauhan,28-Oct-2018 05:01 PM,Rejected-AOC,l3,21-Apr-2019 06:10 AM,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 percent,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,98777.0,Praveen Kumar,28-Oct-2018 08:36 PM,Rejected-AOC,l4,21-Apr-2019 06:10 AM,,,,,,,,,,,,AOC,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,98689.0,S.S.Chauhans Construction Private Limted,28-Oct-2018 08:22 PM,Rejected-AOC,l2,21-Apr-2019 06:10 AM,,,,,,,,,,,,AOC,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,98728.0,SURESH KUMAR,27-Oct-2018 05:23 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2018 12:37 PM,,,,,,,,,,,,AOC,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Turn over certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Registration Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
