Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
01-Apr-2019,"INR 1,067,741",60.0,Arvind Kumar,01-Apr-2019 01:32 PM,Award.pdf (347.00 KB),Award of Contract,Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak Anand Senior DAO Solan Shri Naresh Kumar HDM Smt Rekha Kashyap Supdt Grade II PMGSY,Arvind Kumar,01-Apr-2019 01:28 PM,finsummary_37006.pdf (30.88 KB),Er Arvind Sharma EE B and R Solan,Internal,Shri Deepak anand Senior DaO Solan Shri naresh kumar HDm and Smt Rekha Kashyap Supdt Grade II PMGsY,Arvind Kumar,11-Feb-2019 12:23 PM,11-Feb-2019 12:30 PM,techsummary_37006.pdf (348.22 KB),PWD,2019_PWD_26213_1,14836-44 dated 09.01.2019 Solan Jaunaji RD15 to 16,Periodical renewal unde AMp for the Year 201920 on Solan jaujani Dharja road Km0/0 to 29/0,Technical,Tehnical bid opending summary,Arvind Kumar,11-Feb-2019 12:16 PM,technical_37006.pdf,1.0,110883.0,Asphalt Carpet Construction Company,05-Feb-2019 02:43 PM,Rejected-Technical,Contactor has not submit the original EMD and bid,11-Feb-2019 12:23 PM,Finance,Financial bid opening summary,Arvind Kumar,11-Feb-2019 03:50 PM,finance_37006.pdf,BOQ Comparative Chart,1.0,110035.0,Shubham Construction,INR,"1,067,740.5",AOC,Periodical renewal unde AMp for the Year 201920 on Solan jaujani Dharja road Km0/0 to 29/0,SH Providing and laying BC in Km15/0 to 16/0,Please refer Tender documents. ,NA ,"8,85,347",Civil Works,NA ,Tender,90.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,PWD,14836-44 dated 09.01.2019 Solan Jaunaji RD15 to 16,2019_PWD_26213_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE B and R Solan,EE B and R Division HPPWD Solan,"17,707",No,fixed,,EE B and R Division HPPWD Solan,EE Solan,23-Jan-2019 05:00 PM,06-Feb-2019 11:00 AM,23-Jan-2019 05:00 PM,06-Feb-2019 10:30 AM,NA ,NA ,23-Jan-2019 05:00 PM,06-Feb-2019 10:30 AM,11-Feb-2019 12:30 PM,350.0,EE B and R Division HPPWD Solan,EE Solan,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and erenest money indicate in Schedule F,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,110173.0,naresh vij govt contractor,02-Feb-2019 11:18 AM,Rejected-AOC,Ok,01-Apr-2019 01:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registraiton reffer general rules No 23,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,110035.0,Shubham Construction,02-Feb-2019 09:17 AM,Accepted-AOC,Ok,01-Apr-2019 01:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registraton refer general rules no 21,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,111043.0,Vishal Builders,05-Feb-2019 08:27 PM,Rejected-Technical,Contactor has not submit the original EMD and bid,11-Feb-2019 12:23 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 19 schedule F,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machenery, tool plant shown in schedule F with refeerence to clause 18 proof of ownership",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affdavits of correctness of all the documents are submitted is true by the Contractor,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 25 A,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8refer in SBD Documents,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,AOC
