Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
24-Apr-2019,"INR 4,511,317",60.0,Manoj Kumar Sehgal,24-Apr-2019 01:09 PM,Hawan.pdf (431.00 KB),AOC,Er.Umesh Sharma,Internal,Supdt Gr-II HDM and DA,Manoj Kumar Sehgal,24-Apr-2019 12:17 PM,finsummary_30372.pdf (869.23 KB),ER.Umesh Sharma,Internal,Supdt Gr-II HDM and Sr. Assistant,Umesh Sharma,26-Jun-2018 04:13 PM,26-Jun-2018 04:20 PM,techsummary_30372.pdf (869.06 KB),PWD,2018_PWD_21524_1,PW-KMS-AB-NIT/2018-2032-33 dated 29.5.2018,Construction of link from Sarkalti Hawan Oddi Road Km.0/000 to 3/975 SH Providing and laying Kharanja soling Km.0/000 to 3/435 and C/O Hume pipe culvert at RD 0/735 1/37 1/735 1/810 1/885 1/960 2/210 2/555 2/960 3/105 3/480 3/660 3/780 and 3/870,Finance,Techn ical bid openeing summary,Atul Gazta,26-Jun-2018 04:39 PM,finance_30372.pdf,BOQ Comparative Chart,1.0,87012.0,SUNIL KUMAR,INR,"4,511,317",Technical,Bid opening summary,Umesh Sharma,26-Jun-2018 04:01 PM,technical_30372.pdf,1.0,87012.0,SUNIL KUMAR,21-Jun-2018 09:12 PM,Accepted-AOC,AOC,24-Apr-2019 01:09 PM,AOC,Construction of link from Sarkalti Hawan Oddi Road Km.0/000 to 3/975 SH Providing and laying Kharanja soling Km.0/000 to 3/435 and C/O Hume pipe culvert at RD 0/735 1/37 1/735 1/810 1/885 1/960 2/210 2/555 2/960 3/105 3/480 3/660 3/780 and 3/870,Construction of link from Sarkalti Hawan Oddi Road Km.0/000 to 3/975 SH Providing and laying Kharanja soling Km.0/000 to 3/435 and C/O Hume pipe culvert at RD 0/735 1/37 1/735 1/810 1/885 1/960 2/210 2/555 2/960 3/105 3/480 3/660 3/780 and 3/870,Please refer Tender documents. ,NA ,"26,53,492",Civil Works,NA ,Tender,90.0,60.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,Executive Engineer,HPPWD Division Kumarsain,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),07-Jun-2018 05:30 PM,23-Jun-2018 11:00 AM,07-Jun-2018 06:00 PM,22-Jun-2018 06:00 PM,NA ,NA ,07-Jun-2018 06:00 PM,22-Jun-2018 06:00 PM,26-Jun-2018 04:20 PM,"53,100",No,fixed,,EE Kumarsain,Kumarsain,500.0,EE Kumarsain,Kumarsain,No,PWD,PW-KMS-AB-NIT/2018-2032-33 dated 29.5.2018,2018_PWD_21524_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,87109.0,VISHAL THAKUR,22-Jun-2018 05:28 PM,Rejected-Finance,Reject,24-Apr-2019 12:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
