Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,06-Apr-2019 05:14 PM,finsummary_38935.pdf (186.65 KB),06-Apr-2019,"INR 1,998,345",60.0,Sanjiv Kumar,06-Apr-2019 05:16 PM,AwardPotholeB.pdf (252.00 KB),PWD,2019_PWD_27332_1,PWD-BD-NIT-2018-19-19971-20040,A/R and M/O in HPPWD Sub Division Baijnath,Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,05-Mar-2019 12:35 PM,06-Mar-2019 11:00 AM,techsummary_38935.pdf (762.84 KB),Finance,Financial Bid of the said work open successfully.,Sanjiv Kumar,06-Apr-2019 05:12 PM,finance_38935.pdf,BOQ Comparative Chart,1.0,116187.0,Shalabh Awasthi,INR,"1,862,621",Technical,Seven bidders participated in this work and 5 bidders found responsive. Hence tender recommended by committee to open the financial bid.,Sanjiv Kumar,05-Mar-2019 12:32 PM,technical_38935.pdf,1.0,116355.0,Kalpna thakur,27-Feb-2019 10:17 PM,Rejected-AOC,Higher Side Bidder,06-Apr-2019 05:16 PM,AOC,14-Feb-2019 05:00 PM,28-Feb-2019 11:00 AM,14-Feb-2019 05:00 PM,28-Feb-2019 10:30 AM,NA ,NA ,14-Feb-2019 05:00 PM,28-Feb-2019 10:30 AM,06-Mar-2019 11:00 AM,PWD,PWD-BD-NIT-2018-19-19971-20040,2019_PWD_27332_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Baijanth Division,EE Baijanth Division,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,A/R and M/O in HPPWD Sub Division Baijnath,Repair of Pot Holes in Various roads under HPPWD Sub Division Baijnath.),Please refer Tender documents. ,NA ,"14,98,845",Civil Works - Roads,NA ,Tender,90.0,90.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,"30,000",Yes,fixed,,EE Baijnath,Baijnath,500.0,EE Baijnath,Baijnath,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,116290.0,Ravinder Rana,28-Feb-2019 09:57 AM,Rejected-AOC,Higher Side Bidder,06-Apr-2019 05:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,114247.0,Rohit Sharma,24-Feb-2019 03:43 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Mar-2019 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,116343.0,Sanjay Kapoor,28-Feb-2019 09:44 AM,Rejected-AOC,Higher Side Bidder,06-Apr-2019 05:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,116366.0,satish abrol,28-Feb-2019 09:12 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Mar-2019 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,116187.0,Shalabh Awasthi,28-Feb-2019 10:12 AM,Accepted-AOC,Found Lowest Bidder L1,06-Apr-2019 05:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,115821.0,TANUJ SHARMA,26-Feb-2019 07:35 PM,Rejected-AOC,Higher Side Bidder,06-Apr-2019 05:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery required as per SBD with proof if hiring affidavit required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
