Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
03-Oct-2018 05:00 PM,17-Oct-2018 11:00 AM,03-Oct-2018 05:30 PM,16-Oct-2018 06:00 PM,NA ,NA ,03-Oct-2018 05:30 PM,16-Oct-2018 06:00 PM,31-Oct-2018 04:45 PM,PWD,PW-KMS-AB-NIT/2018-6470-71 dated 19.09.2018,2018_PWD_23857_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),1.0,DD - Demand Draft,Executive Engineer,Kumarsain Division HPPWD Kumarsain,M/T on Oddi Ghareothi road via Mohn Rahu Darog Km 0/0 to 5/195 SH ROFD i/c R/Wall B/Wall CD work MT PCC side drain PCC parapets and PCC side drain Logo sign Board and Kilometer stone under NABARD RIDF XXIII,M/T on Oddi Ghareothi road via Mohn Rahu Darog Km 0/0 to 5/195 SH ROFD i/c R/Wall B/Wall CD work MT PCC side drain PCC parapets and PCC side drain Logo sign Board and Kilometer stone under NABARD RIDF XXIII,Please refer Tender documents. ,NA ,"1,78,86,560",Civil Works - Roads,NA ,Tender,90.0,540.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,"5,000",EE Kumarsain,Kumarsain,No,"2,11,400",No,fixed,,EE Kumarsain,Kumarsain,AOC,1.0,97986.0,Harbans Singh Thakur,16-Oct-2018 05:38 PM,Rejected-Technical,Contrcator fails to fulfil the technical criteria,31-Oct-2018 04:40 PM,Technical,Technical Bid opening summary,Manoj Kumar Sehgal,26-Oct-2018 12:15 PM,technical_33355.pdf,Finance,Technical Bid evaluation summary,Manoj Kumar Sehgal,01-Nov-2018 12:14 PM,finance_33355.pdf,BOQ Comparative Chart,1.0,97758.0,Om Prakash Mehta,INR,"28,429,272",ER.Manoj Kumar,Internal,Assistant Eningeer Kumarsain Sub-Division HDM and Supdt Gr-II,Manoj Kumar Sehgal,31-Oct-2018 04:40 PM,31-Oct-2018 04:45 PM,techsummary_33355.pdf (2088.59 KB),PWD,2018_PWD_23857_1,PW-KMS-AB-NIT/2018-6470-71 dated 19.09.2018,M/T on Oddi Ghareothi road via Mohn Rahu Darog Km 0/0 to 5/195 SH ROFD i/c R/Wall B/Wall CD work MT PCC side drain PCC parapets and PCC side drain Logo sign Board and Kilometer stone under NABARD RIDF XXIII,25-Apr-2019,"INR 28,637,008",540.0,Manoj Kumar Sehgal,25-Apr-2019 01:12 PM,Gharewathi.pdf (617.00 KB),AOC,Er.Manoj Sehgal,Internal,Supdt HDM and DA,Manoj Kumar Sehgal,25-Apr-2019 10:14 AM,finsummary_33355.pdf (2088.59 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,97758.0,Om Prakash Mehta,16-Oct-2018 05:50 PM,Accepted-AOC,AOC,25-Apr-2019 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand Certificate (Gen Rule No 19, Min Amt Work done shown in Schedule F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for Last Five Years alongwith balance sheet (Refer Schedule D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
