EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"8,000",No,fixed,,EE RAJGARH,RAJGARH,350.0,EE RAJGARH,RAJGARH,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,PWD,LINK ROAD BHARYOG,2019_PWD_27133_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,"M/T on link road to village Bharyog Native village of Dr. Y.S. Paramr Km 0/0 to 0/435 (SH P/L G-I , G-II, G-III and tarring in km. 0/0 to 0/200 and 0/300 to 0/435","M/T on link road to village Bharyog Native village of Dr. Y.S. Paramr Km 0/0 to 0/435 (SH P/L G-I , G-II, G-III and tarring in km. 0/0 to 0/200 and 0/300 to 0/435",Please refer Tender documents. ,NA ,"3,71,578",Civil Works - Roads,NA ,Tender,90.0,30.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,11-Feb-2019 05:00 PM,21-Feb-2019 11:00 AM,11-Feb-2019 05:00 PM,20-Feb-2019 05:00 PM,NA ,NA ,11-Feb-2019 05:00 PM,20-Feb-2019 05:00 PM,26-Feb-2019 04:30 PM,AOC,Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt",Kishan Lal Chaudhary,26-Feb-2019 04:05 PM,26-Feb-2019 04:30 PM,techsummary_38605.pdf (388.96 KB),PWD,2019_PWD_27133_1,LINK ROAD BHARYOG,"M/T on link road to village Bharyog Native village of Dr. Y.S. Paramr Km 0/0 to 0/435 (SH P/L G-I , G-II, G-III and tarring in km. 0/0 to 0/200 and 0/300 to 0/435",11-Apr-2019,"INR 371,578",30.0,Kishan Lal Chaudhary,11-Apr-2019 12:39 PM,27133.pdf (286.00 KB),work awarded to Sh. Virender Kumar,Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt",Kishan Lal Chaudhary,11-Apr-2019 12:35 PM,finsummary_38605.pdf (210.15 KB),Finance,SUMMARY,Kishan Lal Chaudhary,02-Mar-2019 03:23 PM,finance_38605.pdf,BOQ Comparative Chart,1.0,113829.0,Virender Kumar govt Contractor,INR,"628,760",1.0,113856.0,Babu Ram,20-Feb-2019 02:10 PM,Rejected-Technical,Not fulfill qualifying the criteria,26-Feb-2019 04:05 PM,Technical,SUMMARY,Kishan Lal Chaudhary,26-Feb-2019 03:59 PM,technical_38605.pdf,AOC
,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,113929.0,sukhpal,20-Feb-2019 04:30 PM,Rejected-Technical,Not fulfill qualifying the criteria,26-Feb-2019 04:05 PM,,,,,,AOC
,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,113933.0,Tapender Thakur,20-Feb-2019 04:44 PM,Rejected-AOC,L2,11-Apr-2019 12:39 PM,,,,,,AOC
,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,113829.0,Virender Kumar govt Contractor,20-Feb-2019 12:43 PM,Accepted-AOC,L1,11-Apr-2019 12:39 PM,,,,,,AOC
,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Contractor to submit the incomplete works on proforma mentioned S. No. 19 as per General Rules 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
