Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Summary,Vijay Kumar Aggarwal,12-Feb-2019 01:27 PM,technical_36504.pdf,Er VK Aggarwal,Internal,TA Supttd DHD DAO AE Dhaulakuan,Vijay Kumar Aggarwal,12-Feb-2019 02:16 PM,12-Feb-2019 03:00 PM,techsummary_36504.pdf (2390.43 KB),1,109809,AKASH THAKUR,30-Jan-2019 10:24 AM,Rejected-Technical,Non responsive,12-Feb-2019 02:16 PM,Finance,Summary,Vijay Kumar Aggarwal,01-Apr-2019 12:02 PM,finance_36504.pdf,BOQ Comparative Chart,Er VK Aggarwal,Internal,TA Supttd DHD DAO AE,Vijay Kumar Aggarwal,01-Apr-2019 12:43 PM,finsummary_36504.pdf (22.70 KB),PWD,2019_PWD_25940_11,NIT No. 12456 - 95 dated 01.01.2019,Ordinary repair to NH 72B (New No. 707) Paonta Rajban Shillai Meenus Hatkoti road Km 0/0 to 161/715 (SH Construction of PCC R/wall at RD 159/515 to 159/535),02-Apr-2019,"INR 640,185",60.0,Vijay Kumar Aggarwal,02-Apr-2019 02:43 PM,159.pdf (715.00 KB),Award,1.0,109551.0,Inder Singh Pundir,INR,"643,914",AOC,350.0,EE NH Division HPPWD Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),15-Jan-2019 05:00 PM,30-Jan-2019 11:30 AM,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,NA ,NA ,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,12-Feb-2019 03:00 PM,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer NH Division HPPWD Nahan,PWD,NIT No. 12456 - 95 dated 01.01.2019,2019_PWD_25940_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Ordinary repair to NH 72B (New No. 707) Paonta Rajban Shillai Meenus Hatkoti road Km 0/0 to 161/715 (SH Construction of PCC R/wall at RD 159/515 to 159/535),Ordinary repair to NH 72B (New No. 707) Paonta Rajban Shillai Meenus Hatkoti road Km 0/0 to 161/715 (SH Construction of PCC R/wall at RD 159/515 to 159/535),refer tender document ,NA ,"6,40,185",Civil Works - Roads,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"13,000",No,fixed,,EE NH Division HPPWD Nahan,Nahan,AOC
,,,,,,,,,,,,2,109402,Anil Sharma,28-Jan-2019 03:12 PM,Rejected-AOC,6th lowest,02-Apr-2019 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3,109698,BAldev Singh S/O JAlam Singh R/O gundah P.O. Kiyari Gundah Tehsil Shillai Distt. Sirmour H.P.,29-Jan-2019 08:47 PM,Rejected-Technical,Non responsive,12-Feb-2019 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,109540,Danveer Autka,29-Jan-2019 01:41 PM,Rejected-AOC,5th lowest,02-Apr-2019 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,109551,Inder Singh Pundir,29-Jan-2019 02:32 PM,Accepted-AOC,1st lowest,02-Apr-2019 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,109654,Kalyan Singh,29-Jan-2019 08:24 PM,Rejected-AOC,3rd lowest,02-Apr-2019 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,109618,M/s BHAWAN SINGH,29-Jan-2019 04:51 PM,Rejected-AOC,7th lowest,02-Apr-2019 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,109362,Natta Ram,28-Jan-2019 09:11 PM,Rejected-AOC,2nd lowest,02-Apr-2019 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Any additional information bidder likes to provide mentioned in Schdule D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,109564,Prittam Aukta,29-Jan-2019 02:27 PM,Rejected-AOC,8th lowest,02-Apr-2019 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,109640,ram lal,29-Jan-2019 05:45 PM,Rejected-Technical,Non responsive,12-Feb-2019 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
