Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt",Kishan Lal Chaudhary,11-Apr-2019 10:52 AM,finsummary_37568.pdf (256.14 KB),11-Apr-2019,"INR 4,323,864",60.0,Kishan Lal Chaudhary,11-Apr-2019 10:55 AM,26480.pdf (286.00 KB),work awarded to Sh. Naresh Kumar Vij,PWD,2019_PWD_26480_1,SE-XII-WS-RGH-18-19-6772-73 dt.30.01.19,Periodical Renewal on Dhabur Bagthan road (R/R)KM 3/00 to 8/00 under AMP for the year 2019-20,Er.K.L Chaudhary EE,Internal,"Sh.D.S Kaundal AE, Sh.Chaman Lal Supdt. G-II Sh. Kishan Singh Supdt. G-II Accounts Sh. Raj Kumar Saxena DHD, Sh. Ghanshyam Jr. Asstt.",Kishan Lal Chaudhary,13-Feb-2019 04:53 PM,14-Feb-2019 10:30 AM,techsummary_37568.pdf (239.57 KB),Technical,SUMMARY,Kishan Lal Chaudhary,12-Feb-2019 04:40 PM,technical_37568.pdf,1.0,111483.0,ashish kaushal,09-Feb-2019 04:47 PM,Rejected-AOC,L2,11-Apr-2019 10:55 AM,Finance,SUMMARY,Kishan Lal Chaudhary,22-Feb-2019 01:06 PM,finance_37568.pdf,BOQ Comparative Chart,1.0,111472.0,naresh vij govt contractor,INR,"6,125,893",AOC,Periodical Renewal on Dhabur Bagthan road (R/R)KM 3/00 to 8/00 under AMP for the year 2019-20,Periodical Renewal on Dhabur Bagthan road (R/R)KM 3/00 to 8/00 under AMP for the year 2019-20,Please refer Tender documents. ,NA ,"43,23,864",Civil Works - Roads,NA ,Tender,120.0,60.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,"2,000",EE RAJAGRH,RAJGARH,No,31-Jan-2019 06:00 PM,12-Feb-2019 11:00 AM,31-Jan-2019 06:00 PM,11-Feb-2019 05:00 PM,NA ,NA ,31-Jan-2019 06:00 PM,11-Feb-2019 05:00 PM,14-Feb-2019 10:30 AM,PWD,SE-XII-WS-RGH-18-19-6772-73 dt.30.01.19,2019_PWD_26480_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,1.0,DD - Demand Draft,"72,400",No,fixed,,EE RAJAGRH,RAJGARH,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,111472.0,naresh vij govt contractor,09-Feb-2019 07:39 AM,Accepted-AOC,L1,11-Apr-2019 10:55 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work Done Certificate as per Gen. Rule Sr.No.28.2(b) and Schedule F Sr.No.6.10,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ROOF OF MANDATORY MACHINERY TOOL AND PLANTS as per Gen. Rules 25 and Schedule F Sr. No.6.19,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC
