Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Tender Stage
"2,000",EE KARSOG,KARSOG,No,EE KARSOG,EE KARSOG,"Construction of Primary Health Center Building at Chhatri in Tehsil Thunag Distt. Mandi (HP) (SH- Construction of Building portion, water supply and sanitary installation, construction of septic tank and site development). Level-II","Construction of Primary Health Center Building at Chhatri in Tehsil Thunag Distt. Mandi (HP) (SH- Construction of Building portion, water supply and sanitary installation, construction of septic tank and site development). Level-II",Please refer Tender documents. ,NA ,"58,16,997",Civil Works - Buildings,NA ,Tender,90.0,365.0,CHHATRI,175011.0,NA ,NA ,NA ,EE KARSOG,No ,No,17-Mar-2018 09:00 AM,24-Mar-2018 12:00 PM,17-Mar-2018 09:00 AM,23-Mar-2018 10:00 AM,NA ,NA ,17-Mar-2018 09:00 AM,23-Mar-2018 10:00 AM,31-Mar-2018 03:50 PM,PWD,PW-KSG-E-TN-17-18 12244-49dt 9.2,2018_PWD_20190_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"91,000",No,fixed,,EE KARSOG,KARSOG,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,AOC,PWD,2018_PWD_20190_1,PW-KSG-E-TN-17-18 12244-49dt 9.2,"Construction of Primary Health Center Building at Chhatri in Tehsil Thunag Distt. Mandi (HP) (SH- Construction of Building portion, water supply and sanitary installation, construction of septic tank and site development). Level-II",PC SHARMA,Internal,,Pritam Chand Sharma,31-Mar-2018 03:44 PM,31-Mar-2018 03:50 PM,techsummary_28550.pdf (524.17 KB),P C SHARMA,Finance,attached,Pritam Chand Sharma,31-Mar-2018 03:58 PM,finance_28550.pdf,BOQ Comparative Chart,1.0,79828.0,MOHAN SINGH NEGI GOVT CONT.,22-Mar-2018 07:48 PM,Accepted-AOC,OK,21-Apr-2019 08:14 PM,Technical,ATTACHED,Pritam Chand Sharma,31-Mar-2018 03:41 PM,None,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,.pdf,EMD Indicated In Schedule F.,AOC,,,,,,,,,,,,,,,,,,,2.0,79852.0,NITIN BHARDWAJ,22-Mar-2018 08:10 PM,Rejected-AOC,OK,21-Apr-2019 08:14 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,.pdf,PAN No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Affidavit Detail Litigation Cases.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Contractor has not more then Two Work In Hand.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
