S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,87088.0,PANKAJ KUMAR,INR,"1,263,777",Finance,Financial Bid Opening Summary,Deepak Raj Chauhan,20-Jul-2018 02:44 PM,finance_30639.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Manoj Bhardwaj,20-Jul-2018 11:35 AM,technical_30639.pdf,1.0,87005.0,BHARAT BHUSHAN,21-Jun-2018 07:04 PM,Rejected-Technical,Non-Responsive,20-Jul-2018 02:38 PM,Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,11-Apr-2019 01:00 PM,finsummary_30639.pdf (19.80 KB),11-Apr-2019,"INR 1,263,777",60.0,Manoj Bhardwaj,11-Apr-2019 01:01 PM,GLERA-AOC.pdf (1307.00 KB),AOC,PWD,2018_PWD_21711_5,PW-JD/E-Tender/2018-19 -2202-04 DT.24.5.18,C/O road from Glera-I to Glera-II Km 0/0 to 0/930,Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,20-Jul-2018 02:38 PM,20-Jul-2018 02:40 PM,techsummary_30639.pdf (339.99 KB),AOC,Executive Engineer Jubbal,HPPWD JUBBAL,1.0,DD - Demand Draft,C/O road from Glera-I to Glera-II Km 0/0 to 0/930,SH /C 5/7 Meter wide in Km 0/0 to 0/930,Please refer Tender documents. ,NA ,"8,31,700",Civil Works - Roads,NA ,Tender,120.0,60.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,350.0,EE Jubbal,Jubbal,No,"16,700",No,fixed,,EE Jubbal,Jubbal,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),15-Jun-2018 04:00 PM,25-Jun-2018 11:00 AM,15-Jun-2018 04:00 PM,23-Jun-2018 06:00 PM,NA ,NA ,15-Jun-2018 04:00 PM,23-Jun-2018 06:00 PM,20-Jul-2018 02:40 PM,PWD,PW-JD/E-Tender/2018-19 -2202-04 DT.24.5.18,2018_PWD_21711_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,87123.0,dinesh,23-Jun-2018 02:59 PM,Rejected-Technical,Non-Responsive,20-Jul-2018 02:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,87088.0,PANKAJ KUMAR,22-Jun-2018 03:44 PM,Accepted-AOC,L-1,11-Apr-2019 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,86944.0,RAJIV GANGTA,23-Jun-2018 04:21 PM,Rejected-Finance,L-2,11-Apr-2019 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,86982.0,Sanjeev Dulta,22-Jun-2018 01:39 PM,Rejected-Technical,Non-Responsive,20-Jul-2018 02:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
