Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Attached,Vivek Sharma,17-Nov-2018 05:28 PM,technical_34096.pdf,1.0,99699.0,Dinesh Thakur,08-Nov-2018 09:52 AM,Rejected-AOC,l2,19-Apr-2019 09:20 PM,Finance,Attached,Vivek Sharma,06-Jan-2019 03:44 PM,finance_34096.pdf,BOQ Comparative Chart,1.0,99697.0,Rajneesh Thskur,INR,"1,218,686",EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,19-Apr-2019 09:15 PM,finsummary_34096.pdf (520.33 KB),19-Apr-2019,"INR 845,822",60.0,Vivek Sharma,19-Apr-2019 09:20 PM,24391A.pdf (775.00 KB),Award,PWD,2018_PWD_24391_1,Rain shelter on Hamirpur Sujanpur road at Bharmeli,Rain shelter on Hamirpur Sujanpur road at Bharmeli,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,17-Nov-2018 05:38 PM,19-Nov-2018 10:30 AM,techsummary_34096.pdf (1000.86 KB),AOC,EE Hamirpur,Executive Engineer HPPWD Hamirpur,Rain shelter on Hamirpur Sujanpur road at Bharmeli,Rain shelter on Hamirpur Sujanpur road at Bharmeli,Please refer Tender documents. ,NA ,"5,30,983",Civil Works - Buildings,NA ,Tender,60.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"10,700",No,fixed,,EEHamirpur,EEHamirpur,31-Oct-2018 06:00 PM,08-Nov-2018 11:30 AM,31-Oct-2018 06:00 PM,08-Nov-2018 10:30 AM,NA ,NA ,31-Oct-2018 06:00 PM,08-Nov-2018 10:30 AM,19-Nov-2018 10:30 AM,PWD,Rain shelter on Hamirpur Sujanpur road at Bharmeli,2018_PWD_24391_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,DD - Demand Draft,350.0,EEHamirpur,EEHamirpur,No,AOC
,,,,,2.0,99697.0,Rajneesh Thskur,08-Nov-2018 09:41 AM,Accepted-AOC,l1,19-Apr-2019 09:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
