EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"13,652",No,fixed,,EE Kumarsain,Kumarsain,350.0,EE Kumarsain,Kumarsain,No,1.0,DD - Demand Draft,PWD,PW-KMS-AB-NIT/2018-11800-801 dt.17.01.2019,2019_PWD_26302_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),25-Jan-2019 11:00 AM,06-Feb-2019 11:00 AM,25-Jan-2019 11:30 AM,05-Feb-2019 06:00 PM,NA ,NA ,25-Jan-2019 11:30 AM,05-Feb-2019 06:00 PM,14-Feb-2019 11:00 AM,Executive Engineer,Kumarsain Division HPPWD Kumarsain,Annual Surfacing on Oddi Kingal road SH Renewal Coat 25mm thick Bituminious Concrete in Km.4/000 to 5/000,Annual Surfacing on Oddi Kingal road SH Renewal Coat 25mm thick Bituminious Concrete in Km.4/000 to 5/000,Please refer Tender documents. ,NA ,"6,82,609",Civil Works,NA ,Tender,90.0,30.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,AOC,1.0,110678.0,narinder pal verma,INR,"990,627",Finance,Technical Bid Summary,Manoj Kumar Sehgal,16-Feb-2019 10:45 AM,finance_37158.pdf,BOQ Comparative Chart,1.0,110788.0,MOHINDER PAL VERMA,05-Feb-2019 01:18 PM,Rejected-Finance,Rejected,30-Apr-2019 03:30 PM,Technical,Bid Opening Summary,Manoj Kumar Sehgal,06-Feb-2019 05:46 PM,technical_37158.pdf,PWD,2019_PWD_26302_1,PW-KMS-AB-NIT/2018-11800-801 dt.17.01.2019,Annual Surfacing on Oddi Kingal road SH Renewal Coat 25mm thick Bituminious Concrete in Km.4/000 to 5/000,Er. Manoj Sehgal,Internal,Superintendent Gr-II HDM and Senior Assistant Account Branch,Manoj Kumar Sehgal,12-Feb-2019 03:59 PM,14-Feb-2019 11:00 AM,techsummary_37158.pdf (420.52 KB),Er.Manoj Sehgal,Internal,Supdt Gr-II HDM and DA,Manoj Kumar Sehgal,30-Apr-2019 03:30 PM,finsummary_37158.pdf (420.52 KB),30-Apr-2019,"INR 1,073,501",30.0,Manoj Kumar Sehgal,30-Apr-2019 04:04 PM,Oddi.pdf (337.00 KB),AOC,AOC
,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,110678.0,narinder pal verma,05-Feb-2019 12:58 PM,Accepted-AOC,AOC,30-Apr-2019 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
