Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Tender Stage
PWD,VR-191 Km.0 to 1,2018_PWD_20277_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,B and R Division HPPWD Joginder Nagar,Periodical Maintenance of Gatoor to Travani road (VR-0191) (other than PMGSY) under Annual Maintenance Plan for the year 2018-19,"Providing and laying built up spray grout, 25mm thick bituminous concrete in Km.0 to 1",Please refer Tender documents. ,NA ,"6,46,789",Civil Works - Roads,NA ,Tender,120.0,90.0,Lad Bharol,175032.0,NA ,NA ,NA ,Joginder Nagar,No ,No,19-Mar-2018 06:00 PM,02-Apr-2018 11:00 AM,19-Mar-2018 06:00 PM,31-Mar-2018 05:00 PM,NA ,NA ,19-Mar-2018 06:00 PM,31-Mar-2018 05:00 PM,10-Apr-2018 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form (indicated in schedule F),"12,900",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,1.0,DD - Demand Draft,350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,AOC,PWD,2018_PWD_20277_1,VR-191 Km.0 to 1,Periodical Maintenance of Gatoor to Travani road (VR-0191) (other than PMGSY) under Annual Maintenance Plan for the year 2018-19,1.0,80723.0,G.P.ACHARYA,31-Mar-2018 12:12 PM,Rejected-Finance,L-2,17-Apr-2019 01:35 PM,Technical,Bid opening summary,Rajeev Sharma,04-Apr-2018 04:43 PM,technical_28722.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (indicated in schedule F),,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC,,,,,2.0,80817.0,P. L. SHARMA,31-Mar-2018 12:24 PM,Rejected-Finance,L-3,17-Apr-2019 01:35 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (general Rule No 23),,,,,,,,,,,,,AOC,,,,,3.0,80825.0,YUDHVIR SINGH,31-Mar-2018 01:10 PM,Accepted-AOC,AOC,17-Apr-2019 04:21 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax Registration (General rule No 21),,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate minimum amount of work done as per Schedule F,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machinery Tool Pants (Indicated in Schedule F),,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7 and 8 duly signed on judiciary paper,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Both gazetted and non gazetted officer HPPWD employees related to him (general rule No 16),,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent account Number (PAN),,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employee Provident Funds and Miscellaneous provision Act. 1952,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,AOC
