Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Dalip Singh Tomar,02-Mar-2019 04:11 PM,02-Mar-2019 04:15 PM,techsummary_38899.pdf (1003.45 KB),Technical,Bid Opening Summary,Dalip Singh Tomar,02-Mar-2019 04:09 PM,technical_38899.pdf,1.0,114892.0,Anil Kumar,23-Feb-2019 05:17 PM,Rejected-Technical,Not qualified,02-Mar-2019 04:11 PM,Finance,Summary,Ajay Kumar Sharma,02-Apr-2019 12:23 PM,finance_38899.pdf,BOQ Comparative Chart,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,02-Apr-2019 12:27 PM,finsummary_38899.pdf (349.67 KB),PWD,2019_PWD_27232_17,CB/Tender/2018-19-12256-12305 dt 24.01.2019,Periodical renewal on Link road to village Ghuttanpur SH Providing laying and rolling of open graded premix carpet of 20 mm thickness including repair of pot holes and profile correction in km 0/0 to 1/0 under AMP PMGSY Roads for the year,02-Apr-2019,"INR 765,436",90.0,Ajay Kumar Sharma,02-Apr-2019 12:28 PM,aoc.pdf (807.00 KB),AOC,1.0,114523.0,Manoj Chawla,INR,"862,911",AOC,Executive Engineer,Executive Engineer PWD Paonta Sahib,Periodical renewal on Link road to village Ghuttanpur SH Providing laying and rolling of open graded premix carpet of 20 mm thickness including repair of pot holes and profile correction in km 0/0 to 1/0 under AMP PMGSY Roads for the year,Periodical renewal on Link road to village Ghuttanpur SH Providing laying and rolling of open graded premix carpet of 20 mm thickness including repair of pot holes and profile correction in km 0/0 to 1/0 under AMP PMGSY Roads for the year,As per Tender document ,NA ,"7,65,436",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE Paonta Sahib,No ,No,350.0,EE Paonta Sahib,Paonta Sahib,Yes,PWD,CB/Tender/2018-19-12256-12305 dt 24.01.2019,2019_PWD_27232_17,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"15,400",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,14-Feb-2019 06:00 PM,25-Feb-2019 11:30 AM,14-Feb-2019 06:00 PM,25-Feb-2019 10:00 AM,NA ,NA ,14-Feb-2019 06:00 PM,25-Feb-2019 10:00 AM,02-Mar-2019 04:15 PM,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,2.0,114523.0,Manoj Chawla,24-Feb-2019 09:16 AM,Accepted-AOC,L1,02-Apr-2019 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,3.0,113390.0,Nazar Ali,18-Feb-2019 05:05 PM,Rejected-Finance,L5,02-Apr-2019 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,114850.0,rakesh kumar,23-Feb-2019 02:40 PM,Rejected-Technical,Not qualified,02-Mar-2019 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,AOC
,,,,,,,,,,,,5.0,114986.0,RAMNIK THAKUR,24-Feb-2019 12:55 PM,Rejected-Finance,L4,02-Apr-2019 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18,,,,,,,,,,,,AOC
,,,,,,,,,,,,6.0,114826.0,Randhir Singh,23-Feb-2019 01:35 PM,Rejected-Finance,L3,02-Apr-2019 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,AOC
,,,,,,,,,,,,7.0,115038.0,RANJEET SINGH,24-Feb-2019 04:56 PM,Rejected-Finance,L2,02-Apr-2019 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
