S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,DD - Demand Draft,1.0,Bid release and open date change,Other,,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,"17,800",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,Construction of Park Near Panchyat Ghar Panther at Baijnath Distt. Kangra (H.P.),Construction of Park i/c Rain Shelter ),Please refer Tender documents. ,NA ,"8,87,771",Civil Works - Buildings,NA ,Tender,90.0,90.0,Baijnath,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,20-Nov-2018 04:00 PM,07-Dec-2018 11:00 AM,20-Nov-2018 04:00 PM,07-Dec-2018 10:30 AM,NA ,NA ,20-Nov-2018 04:00 PM,07-Dec-2018 10:30 AM,22-Dec-2018 03:00 PM,350.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,PWD,PWD-BD-NIT-2018-19/10896-936,2018_PWD_24725_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F,AOC,1.0,102769.0,Abhishek Sharma,06-Dec-2018 07:38 PM,Rejected-Technical,Non Responsive,21-Dec-2018 12:28 PM,Technical,Summary,Virender Kumar,21-Dec-2018 12:19 PM,technical_34587.pdf,Finance,Financial Bid of the said work open successfully,Virender Kumar Dhiman,18-Apr-2019 01:01 PM,finance_34587.pdf,BOQ Comparative Chart,1.0,102631.0,Snehal Rana,INR,"1,070,259",Executive Engineer,Internal,"Executive Engineer, Assistant Engineer, Superintendent G-II, Draughtsman, Sr. Divisional Accounts Officer.",Virender Kumar,21-Dec-2018 12:28 PM,22-Dec-2018 03:00 PM,techsummary_34587.pdf (307.76 KB),PWD,2018_PWD_24725_1,PWD-BD-NIT-2018-19/10896-936,Construction of Park Near Panchyat Ghar Panther at Baijnath Distt. Kangra (H.P.),18-Apr-2019,"INR 887,871",90.0,Virender Kumar Dhiman,18-Apr-2019 01:03 PM,AwardParkPantehar.pdf (233.00 KB),Financial Bid of the said work open successfully on 22.12.2018 and work awarded to Sh. Snehal Rana R/O Nohra,Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Virender Kumar Dhiman,18-Apr-2019 01:02 PM,finsummary_34587.pdf (175.14 KB),AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,AOC,2.0,102839.0,M/s Karun Kumar,07-Dec-2018 10:27 AM,Rejected-Technical,Non Responsive,21-Dec-2018 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC,3.0,102631.0,Snehal Rana,06-Dec-2018 12:17 PM,Accepted-AOC,Lower side,18-Apr-2019 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN No.,AOC,4.0,102812.0,S S RANA,06-Dec-2018 04:59 PM,Rejected-Finance,Higher side,18-Apr-2019 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD in pending in any court of law.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit furnished that contractor has not more than two work in hand.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
