Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Finance,summary,ROSHAN LAL CHAUHAN,30-Apr-2019 10:17 AM,finance_39134.pdf,BOQ Comparative Chart,1.0,114836.0,Prem Sagar,INR,"6,153,553",Technical,opening summary,ROSHAN LAL CHAUHAN,03-Mar-2019 12:22 PM,technical_39134.pdf,1.0,114836.0,Prem Sagar,23-Feb-2019 02:16 PM,Accepted-AOC,L1,30-Apr-2019 10:55 AM,XEN RL Chauhan,Internal,HDM DAO Superintendent Gr-II,ROSHAN LAL CHAUHAN,30-Apr-2019 10:32 AM,finsummary_39134.pdf (987.70 KB),30-Apr-2019,"INR 3,584,543",60.0,ROSHAN LAL CHAUHAN,30-Apr-2019 10:55 AM,Premsagar27475.PDF (918.00 KB),PWD,2019_PWD_27475_1,3542-46 dated 18.01.2019,Periodic renewal coats on Palingi to Nichar via Gramang road under Annual Maintenance plan for the year 2019-2020 SH Annual surfacing from km 9.0 to 10.0 10.0 to 11.0 18.0 to 19.0,RL CHauhan XEN,Internal,HDM DAO Supdt,ROSHAN LAL CHAUHAN,03-Mar-2019 01:07 PM,04-Mar-2019 09:00 AM,techsummary_39134.pdf (1019.22 KB),AOC,"1,500",EE Bhabanagar,Bhabanagar/Sungra,Yes,Periodic renewal coats on Palingi to Nichar via Gramang road under Annual Maintenance plan for the year 2019-2020 SH Annual surfacing from km 9.0 to 10.0 10.0 to 11.0 18.0 to 19.0,Periodic renewal coats on Palingi to Nichar via Gramang road under Annual Maintenance plan for the year 2019-2020 SH Annual surfacing from km 9.0 to 10.0 10.0 to 11.0 18.0 to 19.0,Please refer Tender documents. ,NA ,"35,84,543",Civil Works,NA ,Tender,90.0,60.0,Ponda,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,1.0,DD - Demand Draft,PWD,3542-46 dated 18.01.2019,2019_PWD_27475_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Karchham Division HPPWD Bhabanagar,18-Feb-2019 10:00 AM,25-Feb-2019 11:00 AM,18-Feb-2019 10:30 AM,25-Feb-2019 09:00 AM,NA ,NA ,18-Feb-2019 10:30 AM,25-Feb-2019 09:00 AM,04-Mar-2019 09:00 AM,"61,000",Yes,fixed,,EE Bhabanagar,Bhabanagar/Sungra,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,AOC
,,,,,,,,,,,,,,,,2.0,114668.0,Shamsher Singh,22-Feb-2019 04:43 PM,Rejected-AOC,Due to L2,30-Apr-2019 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,AOC
